stage,subject,config_id,variant_id,aq_model,sigma_min,sigma_max,gamma,q_p10,q_p90,dur_s,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,oculo_valid_frac,oculo_r_dot_x,oculo_r_dot_y,oculo_prec_x,oculo_prec_y,oculo_j30,baseline_valid_frac,baseline_r_dot_x,baseline_r_dot_y,baseline_prec_x,baseline_j30,baseline_raw_jump_ge3_frac,baseline_raw_step_p999_px,baseline_raw_speed_p999_px_s,baseline_raw_speed_p999_arcmin_s,baseline_oculo_r_dot_x,baseline_oculo_prec_x,baseline_oculo_j30,gate_r_dot_x,gate_valid_frac,gate_prec_x,gate_j30,pass_hard_gates,raw_jump_reduction,raw_speed_p999_reduction,oculo_j30_reduction,score,delta_valid_frac,delta_r_dot_x,delta_prec_x,delta_j30,slew_gate,lag_ms,hypothesis_transition_sigma_rows,hypothesis_obs_weight,slew_max_deg_s,slew_gate_cost,slew_gate_saccade_p,hypothesis_velocity_cost,hypothesis_velocity_sigma_deg_s,hypothesis_acceleration_cost,hypothesis_acceleration_sigma_deg_s2,motion_prior,motion_prior_sigma_rows,motion_prior_tau_ms,motion_prior_ncc_thr
full,Pavel,constant,constant_ow6_sg75_mp_s2_tau6,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics.npz,14607.191564147628,1008384.0,0.8870955905686723,0.9680575750832874,0.9003426992414445,0.5783057626554967,0.39275236679795933,5.557328317250401,10.354858831803668,2.7123045157414745,3.4871162317505164,1.1014757341684884,0.07652230654849873,59.67858084667772,871736.462703893,415112.6012875681,0.8870955905686723,0.9685351971911498,0.9010698221952835,1.9632480816487003,2.8490237431067866,0.785177403256057,0.8988302075399848,0.9677969558607584,0.8999685214368665,2.584685174933659,1.046096364302699,0.10971860143722738,71.31534706035444,1041716.9359742698,496055.6837972713,0.9681631399589735,1.9744001381229157,0.7566282003876275,True,True,False,False,False,0.30255849467531754,0.1631733798312513,-0.037732142224944205,-9.543701161049666,-0.011734616971312506,0.0002606192225289572,0.12761934080781545,0.055379369865789396,True,1.0,3.0,6.0,75.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,True,2.0,6.0,0.2
full,Pavel,constant,constant_ow8_sg75_mp_s2_tau6,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics_aq_constant_ow8_sg75_mp_s2_tau6.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics.npz,14607.191564147628,1008384.0,0.8870955905686723,0.9680642051818382,0.9003434608061447,0.5782846789232344,0.39275363748798453,5.556760896513358,10.354821341517255,2.711698656407619,3.4871266641681147,1.1119267824754573,0.0766757763297304,59.726307754980304,872433.6187962334,415444.5803791588,0.8870955905686723,0.9685494324186573,0.9010695774141236,1.9625694176637851,2.8491364794908614,0.7851574094694271,0.8988302075399848,0.9677969558607584,0.8999685214368665,2.584685174933659,1.046096364302699,0.10971860143722738,71.31534706035444,1041716.9359742698,496055.6837972713,0.9681631399589735,1.9744001381229157,0.7566282003876275,True,True,False,False,False,0.3011597365867042,0.16250414227902846,-0.037705717375038236,-9.545762550478027,-0.011734616971312506,0.0002672493210797988,0.12701348147396008,0.06583041817275825,True,1.0,3.0,8.0,75.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,True,2.0,6.0,0.2
full,Pavel,constant,constant_ow12_sg75_mp_s2_tau6,constant,2.0,2.0,1.0,0.0,1.0,,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics_aq_constant_ow12_sg75_mp_s2_tau6.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Pavel/m4_dpf_physics.npz,14607.191564147628,1008384.0,0.8870955905686723,0.9680691175060266,0.9003430058391735,0.5782708151480199,0.3927563678525068,5.556340447407853,10.354843738639119,2.712365228849865,3.487247068966479,1.1002158954257624,0.07679059446235557,59.745976649800156,872720.926110722,415581.3933860581,0.8870955905686723,0.9685533197330078,0.9010658779546238,1.9627252904766959,2.849184518152645,0.8015898250878575,0.8988302075399848,0.9677969558607584,0.8999685214368665,2.584685174933659,1.046096364302699,0.10971860143722738,71.31534706035444,1041716.9359742698,496055.6837972713,0.9681631399589735,1.9744001381229157,0.7566282003876275,True,True,False,False,False,0.30011325831300084,0.1622283405669061,-0.05942367027450969,-9.55251431868872,-0.011734616971312506,0.00027216164526822073,0.12768005391620596,0.054119531123063336,True,1.0,3.0,12.0,75.0,1000000.0,0.25,0.0,80.0,0.0,5000.0,True,2.0,6.0,0.2
