stage,subject,config_id,variant_id,aq_model,sigma_min,sigma_max,gamma,q_p10,q_p90,dur_s,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,oculo_valid_frac,oculo_r_dot_x,oculo_r_dot_y,oculo_prec_x,oculo_prec_y,oculo_j30,baseline_valid_frac,baseline_r_dot_x,baseline_r_dot_y,baseline_prec_x,baseline_j30,baseline_raw_jump_ge3_frac,baseline_raw_step_p999_px,baseline_raw_speed_p999_px_s,baseline_raw_speed_p999_arcmin_s,baseline_oculo_r_dot_x,baseline_oculo_prec_x,baseline_oculo_j30,gate_r_dot_x,gate_valid_frac,gate_prec_x,gate_j30,pass_hard_gates,raw_jump_reduction,raw_speed_p999_reduction,oculo_j30_reduction,score,delta_valid_frac,delta_r_dot_x,delta_prec_x,delta_j30,slew_gate,slew_max_deg_s,slew_gate_cost,slew_gate_saccade_p
prune,Ashton3,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg75,qv_power,2.0,6.0,0.5,0.2965904951095581,0.8045122027397156,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg75_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9393564356435643,6.848815443658459e-17,nan,0.03896809654110791,0.7500372949450155,8.78706539426055e-15,0.0,1.130594535188169,0.8155379660016944,3.552713678800501e-15,0.03925316083504851,40.651223302995646,611040.0785922075,290971.4659962893,0.9393564356435643,5.576419412973857e-17,nan,0.7853159537062734,0.6465987624865176,2.1316282072803006e-14,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,False,True,False,0.10925033415860923,0.1754887112280662,0.0,-9.715260954613324,-0.001436539343130705,nan,0.10935636737779109,3.552713678800501e-15,True,75.0,1000000.0,0.25
prune,Ashton3,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.2965904951095581,0.8045122027397156,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9393564356435643,5.195579733095603e-17,nan,0.04462536148330355,0.7502444544379755,1.731782632909537e-14,0.0,1.0855909295033752,0.8153243018536838,7.105427357601002e-15,0.03910614525139665,43.71141552864229,657038.6967427365,312875.56987749354,0.9393564356435643,1.8497884744870637e-17,nan,0.7894025418305678,0.6392091619165966,1.4210854715202004e-14,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,True,True,True,0.11258647522917616,0.11342014770535852,0.0,0.22600662293453466,-0.001436539343130705,nan,0.0643527616929973,7.105427357601002e-15,True,100.0,1000000.0,0.25
prune,Chong,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg75,qv_power,2.0,6.0,0.5,0.25147830545902256,0.7881551682949067,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg75_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9843921892189219,nan,nan,0.8889489190632327,0.5127199525069582,2.138680445708028e-14,0.0,6.084232538708202,1.841750994526538,0.0,0.034141201264488934,42.18267803065791,636908.3247816773,303289.6784674654,0.9843921892189219,nan,nan,5.205089067345832,1.2961571155458695,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,False,True,False,True,False,0.3207478123425116,0.24136333542751856,0.0,-9.43788885222997,0.006314170807106612,nan,1.155703826252009,0.0,True,75.0,1000000.0,0.25
prune,Chong,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.25147830545902256,0.7881551682949067,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9843921892189219,nan,nan,0.8879696716711967,0.5127764591904106,1.9805103309134307e-14,0.0,6.0847705753814285,1.8408022207216677,0.0,0.03400070249385318,42.41860114410551,640470.4835155059,304985.9445311933,0.9843921892189219,nan,nan,5.203751171752622,1.2975825917694865,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,False,True,False,True,False,0.32354308883492916,0.23712036337744247,0.0,-9.439336547787628,0.006314170807106612,nan,1.1562418629252358,0.0,True,100.0,1000000.0,0.25
prune,Igor,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg75,qv_power,2.0,6.0,0.5,0.11763294413685799,0.730889230966568,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg75_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9858360836083608,nan,nan,0.5174446913173942,0.6658231762629663,1.4860438648807653e-14,0.0,5.599162809973709,2.697523993298727,0.0,0.08978240968945848,70.39278386166913,1027338.1210254472,489208.62905973673,0.9858360836083608,nan,nan,4.508937612707404,1.8911511558176173,0.0,0.9795820486467969,nan,nan,4.924161391017375,0.0,0.13189227498228207,79.77780082549816,1164306.5027896776,554431.6679950845,nan,3.8782231548483654,7.105427357601002e-15,True,True,False,True,False,0.31927469064037656,0.11763945441862111,0.0,-9.563085854941002,0.006254034961563959,nan,0.6750014189563345,0.0,True,75.0,1000000.0,0.25
prune,Igor,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.11763294413685799,0.730889230966568,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9858360836083608,nan,nan,0.5168710443198504,0.6655060097261888,2.1663895590787384e-14,0.0,5.594728999410148,2.6938553889613424,0.0,0.08774029997887473,64.57750862794423,942467.8601248278,448794.21910706087,0.9858360836083608,nan,nan,4.564894038527026,1.8847678233202412,0.0,0.9795820486467969,nan,nan,4.924161391017375,0.0,0.13189227498228207,79.77780082549816,1164306.5027896776,554431.6679950845,nan,3.8782231548483654,7.105427357601002e-15,True,True,False,True,False,0.3347578545395366,0.1905328555095454,0.0,-9.474709289950917,0.006254034961563959,nan,0.6705676083927736,0.0,True,100.0,1000000.0,0.25
prune,John,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg75,qv_power,2.0,6.0,0.5,0.3709337025880814,0.8075991034507751,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg75_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics.npz,14828.710080285458,14544.0,0.999518701870187,7.461601966922702e-17,nan,0.001791443528134103,0.6969948225278082,4.458077422894967e-14,0.0,0.4495861263717394,0.17027563619493274,2.1316282072803006e-14,0.006468483347096064,6.9559831124908555,103148.25689848857,49118.21757070884,0.999518701870187,1.3768809264143773e-16,nan,0.24699114192661872,0.11870432275664504,3.552713678800501e-14,0.9999325645694248,nan,nan,0.20703449714198904,7.105427357601002e-15,0.00849801038645714,9.36778325972899,138912.14205347263,66148.63907308222,nan,0.10839105632592434,2.842170943040401e-14,True,True,False,True,False,0.23882378898894172,0.25745686896986414,0.0,-9.503719342041194,-0.0004138626992378214,nan,0.24255162922975035,1.4210854715202004e-14,True,75.0,1000000.0,0.25
prune,John,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.3709337025880814,0.8075991034507751,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics.npz,14828.710080285458,14544.0,0.999518701870187,9.005237602968209e-17,nan,0.0056472284489502604,0.6971443703143824,3.817316132800643e-14,0.0,0.44641362614618546,0.17029260893270587,1.4210854715202004e-14,0.006468483347096064,6.954082316813855,103120.07055047246,49104.79550022498,0.999518701870187,1.6520815564938238e-17,nan,0.24695916900887016,0.11876144463202291,7.105427357601002e-15,0.9999325645694248,nan,nan,0.20703449714198904,7.105427357601002e-15,0.00849801038645714,9.36778325972899,138912.14205347263,66148.63907308222,nan,0.10839105632592434,2.842170943040401e-14,True,True,False,True,False,0.23882378898894172,0.2576597767042022,0.0,-9.503516434306857,-0.0004138626992378214,nan,0.23937912900419642,7.105427357601002e-15,True,100.0,1000000.0,0.25
prune,Kathy,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg75,qv_power,2.0,6.0,0.5,0.2694007158279419,0.768821120262146,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg75_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9891364136413642,6.189676674163277e-17,nan,0.563092667805823,0.539821233609591,2.756876546450507e-14,0.0,4.692993221461549,3.897482786159452,0.0,0.027605003843734714,38.33565311707744,559484.5903377775,266421.23349417973,0.9891364136413642,1.2399002291925917e-16,nan,3.9923760104996022,3.1156898684893686,0.0,0.9838985954093867,1.2333724907185557e-16,nan,4.220967940149134,7.105427357601002e-15,0.04187123018656193,66.00159612260286,963251.5156457326,458691.19792653935,6.18101019587807e-17,3.635998946707217,0.0,True,True,False,True,False,0.34071667537023526,0.4191708175380164,0.0,-9.240112507091748,0.0052378182319774425,-6.14404823302228e-17,0.4720252813124155,-7.105427357601002e-15,True,75.0,1000000.0,0.25
prune,Kathy,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.2694007158279419,0.768821120262146,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9891364136413642,1.2374472159818124e-16,nan,0.5633573212033588,0.5397492473704908,3.5388323099728534e-14,0.0,4.7381231663208085,3.8917477367445383,0.0,0.0269061429869313,44.57720004352118,650576.0167587814,309798.10321846727,0.9891364136413642,0.0,nan,4.04047370074618,3.1134296327252913,0.0,0.9838985954093867,1.2333724907185557e-16,nan,4.220967940149134,7.105427357601002e-15,0.04187123018656193,66.00159612260286,963251.5156457326,458691.19792653935,6.18101019587807e-17,3.635998946707217,0.0,True,True,False,True,False,0.35740739244946984,0.3246042116812489,0.0,-9.317988395869282,0.0052378182319774425,4.074725263256711e-19,0.517155226171675,-7.105427357601002e-15,True,100.0,1000000.0,0.25
