stage,subject,config_id,variant_id,aq_model,sigma_min,sigma_max,gamma,q_p10,q_p90,dur_s,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,oculo_valid_frac,oculo_r_dot_x,oculo_r_dot_y,oculo_prec_x,oculo_prec_y,oculo_j30,baseline_valid_frac,baseline_r_dot_x,baseline_r_dot_y,baseline_prec_x,baseline_j30,baseline_raw_jump_ge3_frac,baseline_raw_step_p999_px,baseline_raw_speed_p999_px_s,baseline_raw_speed_p999_arcmin_s,baseline_oculo_r_dot_x,baseline_oculo_prec_x,baseline_oculo_j30,gate_r_dot_x,gate_valid_frac,gate_prec_x,gate_j30,pass_hard_gates,raw_jump_reduction,raw_speed_p999_reduction,oculo_j30_reduction,score,delta_valid_frac,delta_r_dot_x,delta_prec_x,delta_j30,slew_gate,slew_max_deg_s,slew_gate_cost,slew_gate_saccade_p
prune,Ashton3,constant,constant_sg100,constant,2.0,2.0,1.0,0.0,1.0,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_constant_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9334433443344334,3.558414848616213e-17,nan,0.04321953601974619,0.7557252186478978,2.842170943040401e-14,0.0,1.071313151917112,0.9086030945387975,0.0,0.03570368171021378,35.45831663742961,532984.0242048936,253801.91628804457,0.9334433443344334,7.426138886148426e-17,nan,0.7496556219225368,0.7595827037578762,1.4210854715202004e-14,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,True,True,True,0.18979664627965767,0.2808142050117355,0.0,0.47061085129139313,-0.007349630652261574,nan,0.050074984106734055,0.0,True,100.0,1000000.0,0.25
prune,Ashton3,qv_power_s2_6_g3,qv_power_s2_6_g3_sg100,qv_power,2.0,6.0,3.0,0.2965904951095581,0.8045122027397156,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_qv_power_s2_6_g3_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9390814081408141,4.3406647879483614e-17,nan,0.02757503563663972,0.7540854280137059,4.1875969051653e-14,0.0,1.2423902285454222,0.9363438463142161,0.0,0.036410445016550205,40.45857598020671,608144.3419896425,289592.54380459164,0.9390814081408141,2.530323739730964e-17,nan,0.7442648839920473,0.7682440383353589,0.0,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,False,True,False,0.1737584683200877,0.17939609406885423,0.0,-9.646845437611058,-0.0017115668458809186,nan,0.22115206073504434,0.0,True,100.0,1000000.0,0.25
prune,Chong,constant,constant_sg100,constant,2.0,2.0,1.0,0.0,1.0,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_constant_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9716721672167217,nan,nan,0.9052987773725232,0.4794162337840335,7.0501568956218235e-15,0.0,4.863127087138971,2.0581369231813786,0.0,0.03667691427754343,67.7852006846232,1023476.0007805937,487369.52418123506,0.9716721672167217,nan,nan,4.061372168607207,1.4328901238261211,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,False,True,True,True,False,0.2702988372743635,-0.21908662407313684,0.0,-9.948787786798773,-0.006405851195093626,nan,-0.0654016253172216,0.0,True,100.0,1000000.0,0.25
prune,Chong,qv_power_s2_6_g3,qv_power_s2_6_g3_sg100,qv_power,2.0,6.0,3.0,0.25147830545902256,0.7881551682949067,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_qv_power_s2_6_g3_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9841859185918592,nan,nan,0.8912324848862024,0.475633699925328,1.1958545209631561e-14,0.0,5.880259414241549,1.8543817849142843,0.0,0.03528006184552674,57.051044477649675,861402.9943498608,410191.9020713623,0.9841859185918592,nan,nan,4.745669850342591,1.394587121023956,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,False,True,False,True,False,0.29808974782058684,-0.026037608646948908,0.0,-9.727947860826362,0.006107900180043924,nan,0.9517307017853565,0.0,True,100.0,1000000.0,0.25
prune,Igor,constant,constant_sg100,constant,2.0,2.0,1.0,0.0,1.0,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_constant_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9671342134213421,7.850646118337011e-17,nan,0.5269763377345058,0.6627120004088628,3.968978825330286e-14,0.0,4.6352306233860014,3.1972246696975346,0.0,0.09166122360113216,72.83130252930638,1062926.757369464,506155.59874736384,0.9671342134213421,1.581230057214566e-16,nan,3.53696454304605,2.1119126311788694,0.0,0.9795820486467969,nan,nan,4.924161391017375,0.0,0.13189227498228207,79.77780082549816,1164306.5027896776,554431.6679950845,nan,3.8782231548483654,7.105427357601002e-15,True,True,True,True,True,0.30502962653843374,0.08707307326490726,0.0,0.392102699803341,-0.012447835225454784,nan,-0.28893076763137326,0.0,True,100.0,1000000.0,0.25
prune,Igor,qv_power_s2_6_g3,qv_power_s2_6_g3_sg100,qv_power,2.0,6.0,3.0,0.11763294413685799,0.730889230966568,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_qv_power_s2_6_g3_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9786853685368537,7.705641286462564e-17,nan,0.51920775957711,0.6605316525641357,1.0265969615314625e-14,0.0,4.9924780486024565,3.2973846887511864,0.0,0.0865665266604969,61.970782165337916,904424.3374906915,430678.2559479483,0.9786853685368537,1.5513190883009465e-16,nan,4.055844937814821,2.196295990290338,0.0,0.9795820486467969,nan,nan,4.924161391017375,0.0,0.13189227498228207,79.77780082549816,1164306.5027896776,554431.6679950845,nan,3.8782231548483654,7.105427357601002e-15,True,True,True,True,True,0.34365733950585103,0.22320769030861604,0.0,0.5668650298144671,-0.0008966801099431487,nan,0.06831665758508176,0.0,True,100.0,1000000.0,0.25
prune,John,constant,constant_sg100,constant,2.0,2.0,1.0,0.0,1.0,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics_aq_constant_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics.npz,14828.710080285458,14544.0,0.9998624862486248,1.3027597464480217e-16,nan,0.03020774880991931,0.6962017957816353,2.8032303686155523e-14,0.0,0.2832330190815146,0.16049202866738466,1.4210854715202004e-14,0.006327372764786795,6.769050185059557,100376.2827131508,47798.22986340514,0.9998624862486248,6.813351476806003e-17,nan,0.10734393892465657,0.11485573770432159,1.4210854715202004e-14,0.9999325645694248,nan,nan,0.20703449714198904,7.105427357601002e-15,0.00849801038645714,9.36778325972899,138912.14205347263,66148.63907308222,nan,0.10839105632592434,2.842170943040401e-14,True,True,True,True,True,0.25542892076592216,0.27741174220384496,0.0,0.5328406629697671,-7.007832079997112e-05,nan,0.07619852193952556,7.105427357601002e-15,True,100.0,1000000.0,0.25
prune,John,qv_power_s2_6_g3,qv_power_s2_6_g3_sg100,qv_power,2.0,6.0,3.0,0.3709337025880814,0.8075991034507751,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics_aq_qv_power_s2_6_g3_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/John/m4_dpf_physics.npz,14828.710080285458,14544.0,0.9999312431243125,4.27379616251872e-17,nan,0.012859801500988215,0.6976136689363331,2.3767655199497008e-14,0.0,0.24752360845368104,0.16790853498027072,1.4210854715202004e-14,0.006876633200385091,6.776334576592813,100484.30084330874,47849.667068242255,0.9999312431243125,7.725358176555582e-17,nan,0.10861699380772064,0.11604815249133524,1.4210854715202004e-14,0.9999325645694248,nan,nan,0.20703449714198904,7.105427357601002e-15,0.00849801038645714,9.36778325972899,138912.14205347263,66148.63907308222,nan,0.10839105632592434,2.842170943040401e-14,True,True,True,True,True,0.19079491696738296,0.27663414185472385,0.0,0.46742905882210684,-1.3214451123344517e-06,nan,0.040489111311692,7.105427357601002e-15,True,100.0,1000000.0,0.25
prune,Kathy,constant,constant_sg100,constant,2.0,2.0,1.0,0.0,1.0,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics_aq_constant_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9783415841584159,nan,nan,0.5578169327915441,0.530949066587131,3.552713678800501e-14,0.0,4.311877692740023,3.7218144303615257,0.0,0.030449286677549862,46.31957495927638,676004.8757110202,321907.08367191436,0.9783415841584159,nan,nan,3.646724379531124,2.9618953930471386,3.552713678800501e-15,0.9838985954093867,1.2333724907185557e-16,nan,4.220967940149134,7.105427357601002e-15,0.04187123018656193,66.00159612260286,963251.5156457326,458691.19792653935,6.18101019587807e-17,3.635998946707217,0.0,False,True,True,True,False,0.27278738785844897,0.29820523016997447,0.0,-9.429007381971577,-0.005557011250970856,nan,0.09090975259088907,-7.105427357601002e-15,True,100.0,1000000.0,0.25
prune,Kathy,qv_power_s2_6_g3,qv_power_s2_6_g3_sg100,qv_power,2.0,6.0,3.0,0.2694007158279419,0.768821120262146,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics_aq_qv_power_s2_6_g3_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Kathy/m4_dpf_physics.npz,14594.36698858648,14544.0,0.988036303630363,0.0,nan,0.5598700253471204,0.5354078601134844,1.3649041628136346e-14,0.0,4.417490421656431,3.617747813077096,0.0,0.029808970680848087,38.12800010808925,556454.0261183195,264978.1076753902,0.988036303630363,0.0,nan,3.834367738355023,2.996265623122636,0.0,0.9838985954093867,1.2333724907185557e-16,nan,4.220967940149134,7.105427357601002e-15,0.04187123018656193,66.00159612260286,963251.5156457326,458691.19792653935,6.18101019587807e-17,3.635998946707217,0.0,True,True,False,True,False,0.2880798928517051,0.42231699916372234,0.0,-9.289603107984572,0.004137708220976255,-1.2333724907185557e-16,0.196522481507297,-7.105427357601002e-15,True,100.0,1000000.0,0.25
