person,mode,band,op,dur_s,floor_hf,split_primary,split_rms_all,split_rms_hf,split_rms_slow,ratio,n_common,Rc,full_prec_x,full_r_dot_x,A_prec_x,B_prec_x,A_r_dot_x,B_r_dot_x,A_valid_frac,B_valid_frac,elapsed_s
Ashton3,evenodd,hf,b3_rp0.15,full,2.8819523630835993,2.6464639039618536,2.658491877107536,2.6464639039618536,nan,0.9182885664113545,490953,7515.641952983726,2.4284537783198545,0.941756305494805,2.800942757096529,2.8424018493031644,0.8749938558119517,0.8750303979586224,0.9836345018303114,0.9834864110330395,1097.8487920761108
Ashton3,block,slow,b3_rp0.15,full,2.8819523630835993,3.4510840109057708,6.908127324981918,nan,3.4510840109057708,1.1974812821726235,31505,480.0,2.4284537783198545,0.941756305494805,3.6181614946816376,3.4293186814379073,0.8751451863051354,0.8745000526124568,0.9845419120087524,0.9843800016718964,1215.6167039871216
