t_s,attention,confidence
0.06867699018370778,0.521192762984544,0.2198412698412699
0.07867699018370777,0.5211658904214364,0.2286507936507937
0.08867699018370777,0.5213166335080585,0.23753968253968258
0.09867699018370776,0.5131484417527438,0.24517857142857147
0.10867699018370776,0.5111534514643044,0.25309523809523815
0.11867699018370775,0.5001054522796974,0.2533730158730159
0.12867699018370776,0.5000888235235844,0.2576984126984127
0.13867699018370774,0.5002407364986275,0.26158730158730165
0.14867699018370772,0.5001536230274046,0.2711706349206349
0.15867699018370773,0.5002565875976522,0.27908730158730166
0.16867699018370774,0.4919513516141204,0.2870039682539683
0.17867699018370772,0.4871986972212106,0.29394841269841276
0.1886769901837077,0.47581461657818463,0.29394841269841276
0.1986769901837077,0.4738903335170817,0.2989484126984127
0.20867699018370772,0.4741377886017512,0.3045634920634921
0.2186769901837077,0.47430308298145846,0.3142857142857143
0.22867699018370768,0.474614971611778,0.32009920634920636
0.2386769901837077,0.47482569516500234,0.32902777777777775
0.2486769901837077,0.47443001407405816,0.3340277777777778
0.2586769901837077,0.4661446157830854,0.3348611111111111
0.26867699018370766,0.46645642250653535,0.3368055555555555
0.2786769901837077,0.45782709826236057,0.3409722222222222
0.2886769901837077,0.4574061456026704,0.35055555555555545
0.29867699018370764,0.4494020153085969,0.353611111111111
0.30867699018370764,0.44876003440345086,0.3628968253968253
0.31867699018370765,0.4442002456686893,0.364781746031746
0.32867699018370766,0.43419955341896105,0.3665873015873015
0.33867699018370767,0.43452890778319486,0.36936507936507934
0.3486769901837076,0.43489802438687963,0.37394841269841256
0.35867699018370763,0.43525713446059183,0.3835317460317459
0.36867699018370764,0.43567517001361455,0.3882936507936507
0.3786769901837076,0.4361355633494677,0.3969047619047618
0.3886769901837076,0.43659742317371064,0.39732142857142855
0.3986769901837076,0.4371108009059704,0.4025992063492062
0.4086769901837076,0.4376356479247587,0.4064880952380951
0.41867699018370763,0.438177564187894,0.41418650793650774
0.4286769901837076,0.4386572893029299,0.4233531746031744
0.4386769901837076,0.4389435943058848,0.42863095238095217
0.4486769901837076,0.4394625444370992,0.43640873015873005
0.45867699018370756,0.44005234806406124,0.43640873015873005
0.46867699018370756,0.44067394669733273,0.44285714285714267
0.4786769901837076,0.44131388905269936,0.44744047619047594
0.4886769901837076,0.4419645400035018,0.4566071428571426
0.4986769901837076,0.44262428249223396,0.4659126984126982
0.5086769901837076,0.4432472717342652,0.472440476190476
0.5186769901837076,0.44261291525122565,0.4810515873015871
0.5286769901837075,0.4422169401690785,0.4813293650793649
0.5386769901837075,0.4429200957842723,0.486190476190476
0.5486769901837075,0.443381791556456,0.4908333333333331
0.5586769901837075,0.4437371151510026,0.49972222222222196
0.5686769901837075,0.44436173621683334,0.50625
0.5786769901837076,0.4447729250906631,0.5150595238095237
0.5886769901837076,0.4428010104313446,0.521031746031746
0.5986769901837075,0.4338663554878939,0.5203174603174603
0.6086769901837075,0.43377876041170027,0.5180555555555555
0.6186769901837075,0.43359854518472263,0.5215277777777776
0.6286769901837075,0.433461420097829,0.5249801587301585
0.6386769901837075,0.42682256496348775,0.530813492063492
0.6486769901837075,0.4250295867883659,0.5394246031746031
0.6586769901837075,0.4234396267708291,0.5441468253968255
0.6686769901837075,0.42276512286702556,0.5413690476190478
0.6786769901837075,0.42259291763257073,0.5388690476190476
0.6886769901837074,0.42226175428496887,0.5411111111111112
0.6986769901837074,0.422143243580839,0.5452777777777776
0.7086769901837074,0.42222405731916585,0.552063492063492
