subject,method,strip_method,strip_width,fps,frame_cols,nstrip,n_frames,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p99_px,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,baseline_valid_frac,delta_valid_frac,baseline_r_dot_x,delta_r_dot_x,baseline_prec_x,delta_prec_x,baseline_j30,delta_j30,baseline_raw_jump_ge3_frac,delta_raw_jump_ge3_frac,baseline_raw_speed_p999_px_s,delta_raw_speed_p999_px_s,raw_strip_valid_frac,delta_vs_raw_strip_valid_frac,raw_strip_r_dot_x,delta_vs_raw_strip_r_dot_x,raw_strip_prec_x,delta_vs_raw_strip_prec_x,raw_strip_j30,delta_vs_raw_strip_j30,raw_strip_raw_jump_ge3_frac,delta_vs_raw_strip_raw_jump_ge3_frac,raw_strip_raw_speed_p999_px_s,delta_vs_raw_strip_raw_speed_p999_px_s
Ashton3,strip_s64,raw,64,18.603074141048825,808,12,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s64_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,223.23688969258592,108.0,0.8240740740740741,9.12861092828652e-18,nan,0.6189642936268629,0.13824235952019567,3.913605832123992e-15,0.0,0.31995898998720024,0.40492745685479264,0.0,0.0,1.0,1.0,223.23688969258592,106.30328080599328,0.99308142629058,-0.16900735221650598,nan,nan,0.7640312075566935,-0.4440722175694933,0.0,0.0,0.06043068640646029,-0.06043068640646029,689382.531797077,-689159.2949073844,,,,,,,,,,,,
Ashton3,strip_resolver_s64,resolver,64,18.603074141048825,808,12,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s64_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,223.23688969258592,108.0,0.8240740740740741,5.2264392321522046e-17,nan,0.59271959995472,0.014360704281509745,1.9712444619172e-14,0.0,0.3339474493907843,0.3572591801944651,7.105427357601002e-15,0.0,0.8509067761281923,0.9203149424957838,205.44824530036985,97.83249776208088,0.99308142629058,-0.16900735221650598,nan,nan,0.7640312075566935,-0.4300837581659092,0.0,7.105427357601002e-15,0.06043068640646029,-0.06043068640646029,689382.531797077,-689177.0835517767,0.8240740740740741,0.0,9.12861092828652e-18,4.3135781393235525e-17,0.31995898998720024,0.013988459403584064,0.0,7.105427357601002e-15,0.0,0.0,223.23688969258592,-17.78864439221607
Ashton3,strip_s32,raw,32,18.603074141048825,808,25,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s32_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,465.07685352622065,225.0,0.7777777777777778,1.3360899317197879e-16,nan,0.6652409025682291,0.10567927296304457,7.461907033647607e-15,0.0,0.4260562996782836,0.4843867745194186,0.0,0.0,2.0,2.0,930.1537070524413,442.9303366916387,0.99308142629058,-0.21530364851280226,nan,nan,0.7640312075566935,-0.3379749078784099,0.0,0.0,0.06043068640646029,-0.06043068640646029,689382.531797077,-688452.3780900246,,,,,,,,,,,,
Ashton3,strip_resolver_s32,resolver,32,18.603074141048825,808,25,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s32_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,465.07685352622065,225.0,0.7777777777777778,6.860611121571696e-17,nan,0.6286317883435155,0.012365245760919165,9.668156784195631e-15,0.0,0.3743776748271107,0.4349268436932841,0.0,0.0,1.267554538060558,1.6113079952489964,749.3820524920458,356.8485964247837,0.99308142629058,-0.21530364851280226,nan,nan,0.7640312075566935,-0.3896535327295828,0.0,0.0,0.06043068640646029,-0.06043068640646029,689382.531797077,-688633.149744585,0.7777777777777778,0.0,1.3360899317197879e-16,-6.500288195626183e-17,0.4260562996782836,-0.051678624851172916,0.0,0.0,0.0,0.0,930.1537070524413,-180.77165456039552
Ashton3,strip_s16,raw,16,18.603074141048825,808,50,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s16_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,930.1537070524413,450.0,0.7666666666666667,7.98013261360138e-17,nan,0.4797390025415671,0.09270703174716707,3.049328841686437e-14,0.0,0.5878912579186636,0.5134722623456595,1.7763568394002505e-14,0.06181818181818182,6.0,15.726000000000056,14627.597197106745,6965.522474812735,0.99308142629058,-0.22641475962391333,nan,nan,0.7640312075566935,-0.17613994963802992,0.0,1.7763568394002505e-14,0.06043068640646029,0.0013874954117215274,689382.531797077,-674754.9345999704,,,,,,,,,,,,
Ashton3,strip_resolver_s16,resolver,16,18.603074141048825,808,50,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s16_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,930.1537070524413,450.0,0.7666666666666667,6.517143966447637e-17,nan,0.46336683966137276,0.019961642850093535,1.0813195273701164e-14,0.0,0.5336347624137651,0.5592471221174891,0.0,0.01090909090909091,3.0293841658741743,10.645907594089987,9902.330413580537,4715.395435038351,0.99308142629058,-0.22641475962391333,nan,nan,0.7640312075566935,-0.23039644514292845,0.0,0.0,0.06043068640646029,-0.04952159549736938,689382.531797077,-679480.2013834965,0.7666666666666667,0.0,7.98013261360138e-17,-1.4629886471537422e-17,0.5878912579186636,-0.05425649550489853,1.7763568394002505e-14,-1.7763568394002505e-14,0.06181818181818182,-0.05090909090909091,14627.597197106745,-4725.266783526207
Ashton3,strip_s15,raw,15,18.603074141048825,808,53,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s15_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,985.9629294755878,477.0,0.7756813417190775,6.091168467756473e-17,nan,0.6163816582209967,0.14917188333443257,1.8784671385863005e-14,0.0,0.546913963056129,0.5248036322961847,1.4210854715202004e-14,0.08053691275167785,11.0,12.0,11831.555153707053,5634.073882717644,0.99308142629058,-0.2174000845715025,nan,nan,0.7640312075566935,-0.21711724450056447,0.0,1.4210854715202004e-14,0.06043068640646029,0.020106226345217554,689382.531797077,-677550.97664337,,,,,,,,,,,,
Ashton3,strip_resolver_s15,resolver,15,18.603074141048825,808,53,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s15_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,985.9629294755878,477.0,0.7756813417190775,5.950820628793259e-17,nan,0.5324237876690943,0.015745570197557186,1.3091341785470873e-14,0.0,0.6240695390022123,0.5352506404520737,1.4210854715202004e-14,0.02348993288590604,6.192955667211235,8.68202043373322,8560.150300610518,4076.26204790977,0.99308142629058,-0.2174000845715025,nan,nan,0.7640312075566935,-0.13996166855448122,0.0,1.4210854715202004e-14,0.06043068640646029,-0.03694075352055425,689382.531797077,-680822.3814964666,0.7756813417190775,0.0,6.091168467756473e-17,-1.4034783896321401e-18,0.546913963056129,0.07715557594608324,1.4210854715202004e-14,0.0,0.08053691275167785,-0.057046979865771806,11831.555153707053,-3271.4048530965356
Ashton3,strip_s8,raw,8,18.603074141048825,808,101,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s8_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,1878.9104882459314,909.0,0.7612761276127613,5.325791057391751e-17,nan,0.34758871196327656,0.10674171982734755,5.948507669517343e-15,0.0,1.066927931063974,0.7171463547155692,3.552713678800501e-15,0.12244897959183673,21.0,24.826000000000022,46645.831781193534,22212.300848187395,0.99308142629058,-0.23180529867781874,nan,nan,0.7640312075566935,0.3028967235072806,0.0,3.552713678800501e-15,0.06043068640646029,0.06201829318537644,689382.531797077,-642736.7000158835,,,,,,,,,,,,
Ashton3,strip_resolver_s8,resolver,8,18.603074141048825,808,101,10,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s8_d0p5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,1878.9104882459314,909.0,0.7612761276127613,1.0382585799941857e-16,nan,0.45155525426059745,0.05801886081372895,1.9492728970522456e-14,0.0,0.993399150264489,0.6062893227648467,1.0658141036401503e-14,0.08163265306122448,8.776410689386616,21.12890232413741,39699.316181945615,18904.43627711696,0.99308142629058,-0.23180529867781874,nan,nan,0.7640312075566935,0.22936794270779548,0.0,1.0658141036401503e-14,0.06043068640646029,0.02120196665476419,689382.531797077,-649683.2156151314,0.7612761276127613,0.0,5.325791057391751e-17,5.0567947425501056e-17,1.066927931063974,-0.0735287807994851,3.552713678800501e-15,7.105427357601002e-15,0.12244897959183673,-0.04081632653061225,46645.831781193534,-6946.515599247919
