person,config,dur_s,beta,roughen_perp,lock_gated,prec_x,prec_y,r_dot_x,r_dot_y,r_trk_x,valid_frac,jitter_30,psd_pursuit,psd_hf,resample_frac,resample_frac_lock,elapsed_s,pass_guardrail
Igor,b3_rp0.05,15.0,3.0,0.05,False,3.2979568759657765,1.6038823860923905,0.8928742023340472,nan,0.6948835271165084,0.976971030436377,1.2430545921470557,107.4124510919175,0.1053939697176638,0.169656932662713,0.08143362484032622,270.498220205307,True
Igor,b3_rp0.15,15.0,3.0,0.15,False,3.2942418402809026,1.6825820855973508,0.8918273475091998,nan,0.6952805053782126,0.9783324165749908,1.2010533854776995,107.32694058091771,0.1023969741188468,0.17414364226712833,0.08946547109856968,240.44953680038452,True
Igor,b3_rp0.5,15.0,3.0,0.5,False,3.389501559470505,1.7370955306228058,0.8922443121886166,nan,0.6948349692114407,0.982966629996333,1.334827380397705,107.98570174986513,0.10895555919338239,0.18468224804610994,0.10608653332914691,230.7367880344391,True
Igor,b5_rp0.05,15.0,5.0,0.05,False,3.4320556402420213,1.6185195267927017,0.8928967627241591,nan,0.6953283092064474,0.9772139713971397,1.2389634210181395,107.64824710524518,0.1062385863730355,0.1984248718273457,0.09990095849260462,233.42792081832886,True
Igor,b5_rp0.15,15.0,5.0,0.15,False,3.3188844895967424,1.6056674786032579,0.8924673372125936,nan,0.6951890741683662,0.9787495416208287,1.2200879920393781,107.21570518553546,0.10376336483358652,0.2076675221520766,0.11539949388307733,235.77677512168884,True
Igor,b5_rp0.5,15.0,5.0,0.5,False,3.466444565893306,1.6741202366108079,0.8919381130118882,nan,0.6939895667011675,0.983493766043271,1.284628525172721,107.90770417825408,0.10253545759313672,0.2281703400929348,0.14727519797572747,230.06244587898254,True
Igor,b8_rp0.05,15.0,8.0,0.05,False,3.3964204536097236,1.5972302161895056,0.892631616137902,nan,0.695027904571103,0.9773652365236524,1.2077420076662655,107.7691950132375,0.10396329592888655,0.24917222425453284,0.12963220781773363,232.1693561077118,True
Igor,b8_rp0.15,15.0,8.0,0.15,False,3.4690974702571773,1.6184109817191303,0.8921211397321469,nan,0.693173652100783,0.9792629262926292,1.205293829915167,107.84877720284237,0.10402223725588707,0.2654234305079668,0.15614165228749738,244.29989790916443,True
Igor,b8_rp0.5,15.0,8.0,0.5,False,3.5151810115472726,1.688567282277939,0.8915586253014913,nan,0.6935046632701044,0.9838329666299963,1.2333158149073302,107.62608046269118,0.10053828846584634,0.3034109386720588,0.2137483907992493,222.6946439743042,True
Igor,b20_rp0.05,15.0,20.0,0.05,False,3.7418923230621863,1.6591000304417678,0.8916270964101843,nan,0.6942132646620299,0.9770993766043271,1.2685688837048197,107.51598586913624,0.12299005957968642,0.38606425099923064,0.23970598073320845,367.2662687301636,True
Igor,b20_rp0.15,15.0,20.0,0.15,False,3.707768936352372,1.6323579395463503,0.8916180783937102,nan,0.6934941033485074,0.9786120278694536,1.2891016266310622,107.50317218166228,0.1294991057722859,0.4390708872380488,0.3154418710707189,229.9446427822113,True
Igor,b20_rp0.5,15.0,20.0,0.5,False,3.773547995718624,1.6858572151494713,0.8914788522492846,nan,0.6937624500603851,0.9846213788045471,1.2329420623367455,107.53612600699404,0.11793224232640821,0.5609320081003701,0.4854335886129806,225.15285181999207,True
Igor,lock_gated,15.0,lg,lg,True,3.496856376567975,1.6207620947133041,0.8922575495714213,nan,0.694482219418328,0.9826182618261826,1.2910461377500724,107.72325081294785,0.11998671812665708,0.17512408568443052,0.07825673326116196,235.93574285507202,True
