kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
evidence,raw_ref,64,300.20196479329775,600,0.98,0.1113013698630137,81.27079725641369,24397.653016693144,11617.930007949115,-0.021553801401531233,0.2501733918086894,0.5716106057541201,0.405,1.0,5.0,0.37717740524051174,2.953647181356813,0.0,,,,,,,
evidence,pf,64,300.20196479329775,600,0.98,0.14726027397260275,57.67313292447462,17313.58781971231,8244.565628434433,-0.021553801401531233,0.2501733918086894,0.5716106057541201,0.405,1.0,5.0,0.37717740524051174,2.953647181356813,17.998514083113857,,,,,,,
evidence,raw_ref,32,600.4260301958244,1200,0.985,0.06022052586938083,79.05617133913714,47467.383119639024,22603.51577125668,-0.007981921149041872,0.29316605437688614,0.611232702875014,0.3625,1.0,5.0,0.73175069008653,4.541954812891176,0.0,,,,,,,
evidence,pf,32,600.4260301958244,1200,0.985,0.11195928753180662,68.7252456082523,41264.42639479593,19649.72685466473,-0.007981921149041872,0.29316605437688614,0.611232702875014,0.3625,1.0,5.0,0.73175069008653,4.541954812891176,15.656033857911444,,,,,,,
evidence,raw_ref,16,1230.418222554145,2460,0.9861788617886179,0.047501032631144156,77.4606254189402,95308.96504590481,45385.22145043086,-0.030939540299993754,0.2345726701449949,0.6350877207333905,0.3073170731707317,1.0,5.0,0.7672247375018829,4.340252766453801,0.0,,,,,,,
evidence,pf,16,1230.418222554145,2460,0.9861788617886179,0.09087154068566708,76.97055107532569,94705.96864311525,45098.08030624536,-0.030939540299993754,0.2345726701449949,0.6350877207333905,0.3073170731707317,1.0,5.0,0.7672247375018829,4.340252766453801,16.903004679259908,,,,,,,
evidence,raw_ref,15,1320.321095208463,2640,0.9848484848484849,0.04897801774006942,76.44441490224311,100931.17360629978,48062.46362204751,-0.011379774178053302,0.23333730638124955,0.6374620633300815,0.3034090909090909,1.0,5.0,0.7392136498029985,4.799551253123911,0.0,,,,,,,
evidence,pf,15,1320.321095208463,2640,0.9848484848484849,0.10219822599305824,98.59343888457873,130174.99720845566,61988.0939087884,-0.011379774178053302,0.23333730638124955,0.6374620633300815,0.3034090909090909,1.0,5.0,0.7392136498029985,4.799551253123911,17.632288381007537,,,,,,,
evidence,raw_ref,8,2490.367292091773,4980,0.9875502008032129,0.06218144750254842,57.77382150520359,143878.03541570733,68513.35019795586,-0.020306214244258727,0.3519969766676674,0.6301077569779895,0.29899598393574295,1.0,5.0,1.0307460980867924,6.704268453485065,0.0,,,,,,,
evidence,pf,8,2490.367292091773,4980,0.9875502008032129,0.07013251783893985,71.99023089563944,179282.11637263512,85372.43636792147,-0.020306214244258727,0.3519969766676674,0.6301077569779895,0.29899598393574295,1.0,5.0,1.0307460980867924,6.704268453485065,15.293038908957005,,,,,,,
evidence,raw_ref,4,5010.247798178833,10020,0.9895209580838323,0.07225871652349672,69.12763066930806,346346.55935422034,164926.9330258192,-0.042544449328740935,0.17561743353251663,0.642062465868705,0.28502994011976046,1.0,5.0,0.8811246439517808,5.5863569383543705,0.0,,,,,,,
evidence,pf,4,5010.247798178833,10020,0.9895209580838323,0.06831733198585144,61.806716101894054,309666.9632621789,147460.45869627566,-0.042544449328740935,0.17561743353251663,0.642062465868705,0.28502994011976046,1.0,5.0,0.8811246439517808,5.5863569383543705,20.279189949406828,,,,,,,
evidence,raw_ref,2,10050.0,20100,0.9897512437810946,0.05344818900811042,66.4285460179004,667606.8874798991,317908.0416570948,-0.007263246747770279,0.3077393201605163,0.614189706505746,0.2815422885572139,0.9997512437810945,5.0,1.1420914418415133,6.3881067743819875,0.0,,,,,,,
evidence,pf,2,10050.0,20100,0.9897512437810946,0.04548889224724195,52.86571170378026,531300.4026229916,253000.1917252341,-0.007263246747770279,0.3077393201605163,0.614189706505746,0.2815422885572139,0.9997512437810945,5.0,1.1420914418415133,6.3881067743819875,18.189537235922845,,,,,,,
evidence,raw_ref,1,20100.0,40200,0.9905223880597015,0.04923146587507232,70.10019834959532,1409013.986826866,670959.0413461266,-0.01731134063471169,0.29990829130711394,0.6307889108254665,0.26733830845771145,0.9965174129353234,4.0,1.3431389139088066,6.745669267229424,0.0,,,,,,,
evidence,pf,1,20100.0,40200,0.9905223880597015,0.014867550501874167,32.187110924864186,646960.9295897702,308076.6331379858,-0.01731134063471169,0.29990829130711394,0.6307889108254665,0.26733830845771145,0.9965174129353234,4.0,1.3431389139088066,6.745669267229424,20.49023995126277,,,,,,,
rate_point,raw_ref,1,20100.0,,,0.04923146587507232,,1409013.986826866,,,,,,,,,,,,,,,,,
rate_point,raw_ref,2,10050.0,,,0.05344818900811042,,667606.8874798991,,,,,,,,,,,,,,,,,
