kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
evidence,pf,15,985.9629294755878,4929,0.9293974437005478,0.011177007299270073,34.55366960078307,34068.63730371964,16223.160620818875,0.34003530535362075,0.6080939771496968,0.6213294556408111,0.24081963887198216,1.0,5.0,5.346135131231067,10.866978844497563,3.969487597415555,,,,,,,
evidence,pf,8,1878.9104882459314,9393,0.9322900031938678,0.008615602502065384,29.15115423851281,54772.40944321656,26082.099734865027,0.33934652448301467,0.6102925731115425,0.6304928053497103,0.21217928244437348,1.0,5.0,5.356549863137455,11.985127009712597,4.332625022967589,,,,,,,
evidence,pf,4,3757.820976491863,18786,0.9364420312999042,0.006202538983247348,23.40132461790421,87937.98852685586,41875.23263183612,0.3529927441528031,0.6180741033480388,0.6297485145126893,0.2031299904183967,1.0,5.0,5.6778953971298165,13.07879305749721,4.249090045367599,,,,,,,
evidence,pf,2,7515.641952983726,37572,0.9452517832428404,0.005586273727412643,13.068526787543934,98218.36818815682,46770.651518169914,0.36818079794145436,0.6242405246971738,0.6304633194544624,0.1961567124454381,1.0,5.0,5.72783357207608,13.53480782064834,4.691112730151023,,,,,,,
evidence,pf,1,15031.283905967452,75144,0.9557250079846694,0.003469101123595506,6.89161326309881,103589.79552776898,49328.47406084237,0.37052594381657655,0.628148241548782,0.6291430219231279,0.20122697753646332,1.0,4.0,5.413187066060833,13.460371503036878,6.6935152916592315,,,,,,,
rate_point,raw,1,15031.283905967452,,,0.09964887640449438,,1067221.157323689,,,,,,,,,,,,,,,,,
rate_point,raw,2,7515.641952983726,,,0.08402211708373711,,541126.2206148283,,,,,,,,,,,,,,,,,
rate_point,raw,4,3757.820976491863,,,0.08596603095472727,,257410.73688971993,,,,,,,,,,,,,,,,,
rate_point,raw,8,1878.9104882459314,,,0.07612415909359141,,130742.10741410629,,,,,,,,,,,,,,,,,
rate_point,raw,15,985.9629294755878,,,0.057025547445255474,,55906.0700271259,,,,,,,,,,,,,,,,,
