subject,method,strip_method,strip_width,fps,frame_cols,nstrip,n_frames,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p99_px,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,baseline_valid_frac,delta_valid_frac,baseline_r_dot_x,delta_r_dot_x,baseline_prec_x,delta_prec_x,baseline_j30,delta_j30,baseline_raw_jump_ge3_frac,delta_raw_jump_ge3_frac,baseline_raw_speed_p999_px_s,delta_raw_speed_p999_px_s,raw_strip_valid_frac,delta_vs_raw_strip_valid_frac,raw_strip_r_dot_x,delta_vs_raw_strip_r_dot_x,raw_strip_prec_x,delta_vs_raw_strip_prec_x,raw_strip_j30,delta_vs_raw_strip_j30,raw_strip_raw_jump_ge3_frac,delta_vs_raw_strip_raw_jump_ge3_frac,raw_strip_raw_speed_p999_px_s,delta_vs_raw_strip_raw_speed_p999_px_s
Ashton3,strip_s64,raw,64,18.603074141048825,808,12,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s64_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,223.23688969258592,1116.0,0.953405017921147,0.9227717819746954,nan,0.29966620931343607,0.2841607937589673,7.483427837354327,0.0,4.815798388901882,0.7328609455171293,0.7162013064743533,0.09029779058597502,18.399999999999636,59.92000000000007,13376.354430379764,6369.692585895125,0.9784318160650372,-0.025026798143890194,0.9014367987656342,0.021334983209061242,3.938571557794939,0.8772268311069431,0.8648572085333406,-0.14865590205898727,0.023062314702225622,0.0672354758837494,705404.6510002308,-692028.296569851,,,,,,,,,,,,
Ashton3,strip_resolver_s64,resolver,64,18.603074141048825,808,12,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s64_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,223.23688969258592,1116.0,0.953405017921147,0.9222020989146404,nan,0.30775323712797464,0.2967113216912466,7.50986555042478,0.0,4.442850705312294,1.0474656051619315,0.7805025679251187,0.09029779058597502,15.938239235312565,55.9381477501959,12487.458118918055,5946.408628056217,0.9784318160650372,-0.025026798143890194,0.9014367987656342,0.02076530014900624,3.938571557794939,0.5042791475173547,0.8648572085333406,-0.08435464060822184,0.023062314702225622,0.0672354758837494,705404.6510002308,-692917.1928813128,0.953405017921147,0.0,0.9227717819746954,-0.000569683060055004,4.815798388901882,-0.3729476835895884,0.7162013064743533,0.06430126145076542,0.09029779058597502,0.0,13376.354430379764,-888.896311461709
Ashton3,strip_s32,raw,32,18.603074141048825,808,25,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s32_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,465.07685352622065,2325.0,0.9320430107526881,0.9003394883836114,nan,0.2609595156688083,0.05784890146027983,8.429252427693859,0.0,5.751799132661574,0.8830400085950394,0.8782889351852674,0.05536992840095466,9.0,57.06000000000404,26537.285262208028,12636.802505813346,0.9784318160650372,-0.04638880531234901,0.9014367987656342,-0.0010973103820227648,3.938571557794939,1.813227574866635,0.8648572085333406,0.013431726651926823,0.023062314702225622,0.03230761369872903,705404.6510002308,-678867.3657380227,,,,,,,,,,,,
Ashton3,strip_resolver_s32,resolver,32,18.603074141048825,808,25,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s32_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,465.07685352622065,2325.0,0.9320430107526881,0.8939864659003318,nan,0.26415107390929427,0.09698334183183595,8.679226035366401,0.0,5.417972046885983,0.8983259585426171,0.8080472183094525,0.0477326968973747,9.616137811478996,28.844145844436998,13414.744591982171,6387.973615229605,0.9784318160650372,-0.04638880531234901,0.9014367987656342,-0.007450332865302389,3.938571557794939,1.4794004890910437,0.8648572085333406,-0.05680999022388811,0.023062314702225622,0.02467038219514908,705404.6510002308,-691989.9064082486,0.9320430107526881,0.0,0.9003394883836114,-0.0063530224832796245,5.751799132661574,-0.3338270857755914,0.8782889351852674,-0.07024171687581493,0.05536992840095466,-0.007637231503579957,26537.285262208028,-13122.540670225857
Ashton3,strip_s16,raw,16,18.603074141048825,808,50,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s16_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,930.1537070524413,4650.0,0.9303225806451613,0.9042471439411967,nan,0.29709515656109214,0.15922066862997358,8.288907288705644,0.0,6.053238276901216,0.8783920004959407,1.037183957066758,0.057004830917874394,15.5,56.79150000000118,52824.82425406981,25154.678216223718,0.9784318160650372,-0.048109235419875884,0.9014367987656342,0.0028103451755624453,3.938571557794939,2.114666719106277,0.8648572085333406,0.17232674853341745,0.023062314702225622,0.03394251621564877,705404.6510002308,-652579.826746161,,,,,,,,,,,,
Ashton3,strip_resolver_s16,resolver,16,18.603074141048825,808,50,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s16_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,930.1537070524413,4650.0,0.9303225806451613,0.8998961363085898,nan,0.30705204683659465,0.23065431237350936,8.465451134445033,0.0,6.172106100679625,0.8678748252171165,1.04230839230235,0.042753623188405795,10.296699840173398,46.346904592895626,43109.74511748768,20528.450055946512,0.9784318160650372,-0.048109235419875884,0.9014367987656342,-0.0015406624570444283,3.938571557794939,2.233534542884686,0.8648572085333406,0.17745118376900937,0.023062314702225622,0.019691308486180174,705404.6510002308,-662294.9058827432,0.9303225806451613,0.0,0.9042471439411967,-0.004351007632606874,6.053238276901216,0.11886782377840888,1.037183957066758,0.005124435235591918,0.057004830917874394,-0.014251207729468598,52824.82425406981,-9715.079136582135
Ashton3,strip_s15,raw,15,18.603074141048825,808,53,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s15_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,985.9629294755878,4929.0,0.9293974437005478,0.8995883445282078,nan,0.29282962430284626,0.15690610554221618,8.474092313924007,0.0,6.0237654210375915,0.9029265573338168,1.2310774645387141,0.057025547445255474,16.0,56.702000000001135,55906.0700271259,26621.938108155187,0.9784318160650372,-0.049034372364489376,0.9014367987656342,-0.0018484542374264112,3.938571557794939,2.0851938632426523,0.8648572085333406,0.36622025600537356,0.023062314702225622,0.033963232743029856,705404.6510002308,-649498.5809731049,,,,,,,,,,,,
Ashton3,strip_resolver_s15,resolver,15,18.603074141048825,808,53,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s15_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,985.9629294755878,4929.0,0.9293974437005478,0.8951235998758114,nan,0.2995694533374457,0.17019983615056658,8.65025748360066,0.0,5.9928375521670825,0.9236993473134064,1.0741358564206518,0.03923357664233577,10.194236172858462,40.78836269841094,40215.81357463804,19150.387416494308,0.9784318160650372,-0.049034372364489376,0.9014367987656342,-0.006313198889822846,3.938571557794939,2.0542659943721433,0.8648572085333406,0.2092786478873112,0.023062314702225622,0.016171261940110145,705404.6510002308,-665188.8374255928,0.9293974437005478,0.0,0.8995883445282078,-0.004464744652396435,6.0237654210375915,-0.030927868870509023,1.2310774645387141,-0.15694160811806235,0.057025547445255474,-0.017791970802919707,55906.0700271259,-15690.256452487854
Ashton3,strip_s8,raw,8,18.603074141048825,808,101,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s8_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,1878.9104882459314,9393.0,0.9322900031938678,0.8898536828671433,nan,0.30869367217704574,0.00642224160055962,8.850768864189344,0.0,6.537031520514668,1.0356742754927677,1.296518104824913,0.07612415909359141,19.0,69.58400000000074,130742.10741410629,62258.14638766966,0.9784318160650372,-0.04614181287116936,0.9014367987656342,-0.011583115898490925,3.938571557794939,2.5984599627197285,0.8648572085333406,0.43166089629157245,0.023062314702225622,0.053061844391365784,705404.6510002308,-574662.5435861245,,,,,,,,,,,,
Ashton3,strip_resolver_s8,resolver,8,18.603074141048825,808,101,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_resolver_s8_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,1878.9104882459314,9393.0,0.9322900031938678,0.8866205801827124,nan,0.310406585858752,0.05519004729821996,8.972042401931834,0.0,6.4047733759192695,1.1433741980093701,1.3323232082968488,0.04685471497698572,8.949894054099161,37.34337838894596,70164.865321527,33411.840629298575,0.9784318160650372,-0.04614181287116936,0.9014367987656342,-0.014816218582921814,3.938571557794939,2.4662018181243304,0.8648572085333406,0.4674659997635082,0.023062314702225622,0.0237924002747601,705404.6510002308,-635239.7856787038,0.9322900031938678,0.0,0.8898536828671433,-0.0032331026844308886,6.537031520514668,-0.13225814459539809,1.296518104824913,0.03580510347193577,0.07612415909359141,-0.02926944411660569,130742.10741410629,-60577.24209257928
