window_id,source,window_score,start_s,end_s,trace,cache,local_prec,local_j30,raw_jump_ge3_frac,raw_step_p999_px,max_ncc,resolved_minus_immediate_rms_px,resolved_minus_immediate_p95_px,hyp_count,qv,con,p_saccade,along_sigma_eff
1,j30,1.016891212966594,0.788823775562799,2.755868561264331,baseline,m4_dpf_physics.npz,5.973147820247149,1.0680921911622718,0.16223517153552272,81.60553214553342,0.34669639657385604,,,,,,,
1,j30,1.016891212966594,0.788823775562799,2.755868561264331,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,5.915508369647961,2.0231958015714566,0.10737153833840243,66.31781812282709,0.33348795691427924,5.860040331701907,9.464073456594468,1.4610901744434515,0.4518498182296753,18.352121353149414,0.0,2.0
1,j30,1.016891212966594,0.788823775562799,2.755868561264331,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,5.804154781054521,1.4303886983776408,0.17272290699535778,72.61919832312225,0.33348795691427924,0.0,0.0,1.4610901744434515,0.4518498182296753,18.352121353149414,0.0,2.0
1,j30,1.016891212966594,0.788823775562799,2.755868561264331,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,6.070000140694697,1.98283061926184,0.10883318651397453,70.73320927187802,0.33757726856773296,6.462185081794481,9.594173684046847,1.4575171019900497,0.45203205943107605,18.34982204437256,0.0,2.0
1,j30,1.016891212966594,0.788823775562799,2.755868561264331,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,5.924920392942816,2.13283377393648,0.10897230670721947,66.86466923061434,0.33348795691427924,5.855379424671896,9.45273011293397,1.4610901744434515,0.4518498182296753,18.352121353149414,0.0,2.0
2,j30,0.9026825620032213,0.5554455806490579,2.5224903663505898,baseline,m4_dpf_physics.npz,5.378432550143619,0.9411413726181372,0.16070369638268434,81.3417624826849,0.34565158483248326,,,,,,,
2,j30,0.9026825620032213,0.5554455806490579,2.5224903663505898,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,5.414932867552889,1.7984830681380188,0.10456071399328584,64.03031029972897,0.33263507203319564,5.596144036533192,9.135167829278132,1.4606128222496713,0.45961442589759827,18.295001983642578,0.0,2.0
2,j30,0.9026825620032213,0.5554455806490579,2.5224903663505898,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,5.335828105449492,1.1011714140770863,0.1704331450094162,71.60068432871353,0.33263507203319564,0.0,0.0,1.4606128222496713,0.45961442589759827,18.295001983642578,0.0,2.0
2,j30,0.9026825620032213,0.5554455806490579,2.5224903663505898,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,5.383766874895841,1.971201643644008,0.10919963955107725,70.5922919284066,0.33580072055489046,6.429550185074984,9.556902585375708,1.4640251923306893,0.45974335074424744,18.293691635131836,0.0,2.0
2,j30,0.9026825620032213,0.5554455806490579,2.5224903663505898,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6,m4_dpf_physics_aq_constant_ow6_sg75_mp_s2_tau6.npz,5.4175924343151305,1.8259234638267685,0.10599361336281012,64.03031029972897,0.33263507203319564,5.547143699146258,9.111374088134626,1.4606128222496713,0.45961442589759827,18.295001983642578,0.0,2.0
3,j30,0.7967568411715433,62.63404542770419,64.60109021340573,baseline,m4_dpf_physics.npz,2.5208971238044353,1.0277905004782362,0.11915018962406569,67.6379414959342,0.3549223267793123,,,,,,,
3,j30,0.7967568411715433,62.63404542770419,64.60109021340573,resolved,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.136248884312103,1.737001628330006,0.0869089812231355,63.960081398826624,0.3449191411659685,4.924877621654338,7.209427350404973,1.3873440219202429,0.4763340353965759,20.292037963867188,0.0,2.0
3,j30,0.7967568411715433,62.63404542770419,64.60109021340573,immediate,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz::immediate,2.934913450450353,1.650881107817277,0.1397707563532162,69.61673043619017,0.3449191411659685,0.0,0.0,1.3873440219202429,0.4763340353965759,20.292037963867188,0.0,2.0
3,j30,0.7967568411715433,62.63404542770419,64.60109021340573,m4_dpf_physics_aq_constant_sg100,m4_dpf_physics_aq_constant_sg100.npz,2.88539807534742,1.5390959639402126,0.08486889401793485,60.18400777372052,0.3457295555180405,5.174291049846833,7.436622414828474,1.3939517625231912,0.4769096374511719,20.288602828979492,0.0,2.0
