kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
evidence,raw_ref,4,5010.247798178833,10020,0.865568862275449,0.17358755409989474,114.2224563934693,572282.8106479574,272515.6241180749,0.004977749345452742,0.29032246662315897,0.6042730510098155,0.31147704590818365,1.0,5.0,0.8189638709670907,5.502209711637567,0.0,,,,,,,
evidence,pf,4,5010.247798178833,10020,0.865568862275449,0.07439466604281203,49.71327835867316,249075.84343679366,118607.54449371126,0.004977749345452742,0.29032246662315897,0.6042730510098155,0.31147704590818365,1.0,5.0,0.8189638709670907,5.502209711637567,15.378275237354583,,,,,,,
evidence,raw_ref,2,10050.0,20100,0.8725373134328358,0.10871948756419875,107.05647333204078,1075917.5569870097,512341.6938033379,0.009371630827616655,0.24269278435713343,0.614211738216615,0.2898009950248756,1.0,5.0,0.9700715579817013,6.063912200924548,0.0,,,,,,,
evidence,pf,2,10050.0,20100,0.8725373134328358,0.04177967568815281,36.31375045232639,364953.19204588025,173787.23430756203,0.009371630827616655,0.24269278435713343,0.614211738216615,0.2898009950248756,1.0,5.0,0.9700715579817013,6.063912200924548,17.916781773209433,,,,,,,
evidence,raw_ref,1,20100.0,40200,0.8771144278606965,0.08314484496235004,106.09958663766271,2132601.6914170207,1015524.614960486,0.003667316890129073,0.2243716904941179,0.6136598899857277,0.28888059701492536,1.0,5.0,1.1052176088405683,5.736996989613474,0.0,,,,,,,
evidence,pf,1,20100.0,40200,0.8771144278606965,0.01652017064162396,29.048597218178557,583876.804085389,278036.57337399473,0.003667316890129073,0.2243716904941179,0.6136598899857277,0.28888059701492536,1.0,5.0,1.1052176088405683,5.736996989613474,24.675464770696163,,,,,,,
rate_point,raw_ref,1,20100.0,,,0.08314484496235004,,2132601.6914170207,,,,,,,,,,,,,,,,,
rate_point,raw_ref,2,10050.0,,,0.10871948756419875,,1075917.5569870097,,,,,,,,,,,,,,,,,
rate_point,raw_ref,4,5010.247798178833,,,0.17358755409989474,,572282.8106479574,,,,,,,,,,,,,,,,,
rate_point,raw_ref,8,2490.367292091773,,,0.1757532281205165,,280363.38510554883,,,,,,,,,,,,,,,,,
rate_point,raw_ref,15,1320.321095208463,,,0.15487748497457235,,211251.37523335408,,,,,,,,,,,,,,,,,
rate_point,raw_ref,16,1230.418222554145,,,0.14476945959345563,,135086.2505266313,,,,,,,,,,,,,,,,,
rate_point,raw_ref,32,600.4260301958244,,,0.14771519659936239,,59988.83008940438,,,,,,,,,,,,,,,,,
rate_point,raw_ref,64,300.20196479329775,,,0.1504424778761062,,29968.892368333363,,,,,,,,,,,,,,,,,
rate_slope,raw_ref,,,8,,,,,,,,,,,,,,,1.0024206275523775,,,,,,
rate_point,pf,1,20100.0,,,0.01652017064162396,,583876.804085389,,,,,,,,,,,,,,,,,
rate_point,pf,2,10050.0,,,0.04177967568815281,,364953.19204588025,,,,,,,,,,,,,,,,,
rate_point,pf,4,5010.247798178833,,,0.07439466604281203,,249075.84343679366,,,,,,,,,,,,,,,,,
rate_point,pf,8,2490.367292091773,,,0.07867049258727882,,216077.8201797059,,,,,,,,,,,,,,,,,
rate_point,pf,15,1320.321095208463,,,0.09431345353675451,,103466.46787248514,,,,,,,,,,,,,,,,,
rate_point,pf,16,1230.418222554145,,,0.09519087754090233,,98793.60722349933,,,,,,,,,,,,,,,,,
rate_point,pf,32,600.4260301958244,,,0.09139213602550478,,42567.377756704445,,,,,,,,,,,,,,,,,
rate_point,pf,64,300.20196479329775,,,0.1415929203539823,,17129.28158566722,,,,,,,,,,,,,,,,,
rate_slope,pf,,,8,,,,,,,,,,,,,,,0.7958985423555267,,,,,,
