subject,method,strip_method,strip_width,fps,frame_cols,nstrip,n_frames,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p99_px,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,baseline_valid_frac,delta_valid_frac,baseline_r_dot_x,delta_r_dot_x,baseline_prec_x,delta_prec_x,baseline_j30,delta_j30,baseline_raw_jump_ge3_frac,delta_raw_jump_ge3_frac,baseline_raw_speed_p999_px_s,delta_raw_speed_p999_px_s,raw_strip_valid_frac,delta_vs_raw_strip_valid_frac,raw_strip_r_dot_x,delta_vs_raw_strip_r_dot_x,raw_strip_prec_x,delta_vs_raw_strip_prec_x,raw_strip_j30,delta_vs_raw_strip_j30,raw_strip_raw_jump_ge3_frac,delta_vs_raw_strip_raw_jump_ge3_frac,raw_strip_raw_speed_p999_px_s,delta_vs_raw_strip_raw_speed_p999_px_s
Ashton3,strip_s64,raw,64,18.603074141048825,808,12,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s64_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,223.23688969258592,1116.0,0.953405017921147,0.9227717819746954,nan,0.29966620931343607,0.2841607937589673,7.483427837354327,0.0,4.815798388901882,0.7328609455171293,0.7162013064743533,0.09029779058597502,18.399999999999636,59.92000000000007,13376.354430379764,6369.692585895125,0.9784318160650372,-0.025026798143890194,0.9014367987656342,0.021334983209061242,3.938571557794939,0.8772268311069431,0.8648572085333406,-0.14865590205898727,0.023062314702225622,0.0672354758837494,705404.6510002308,-692028.296569851,,,,,,,,,,,,
Ashton3,strip_pf_s64,pf,64,18.603074141048825,808,12,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_pf_s64_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,223.23688969258592,1116.0,0.953405017921147,0.8945246332684559,nan,0.34965191504187654,0.32453145942312983,8.681091793272236,0.0,2.83825965489734,0.927336952601745,0.30102789759096993,0.037463976945244955,21.37281734564649,47.9643696018159,10707.416685974998,5098.769850464285,0.9784318160650372,-0.025026798143890194,0.9014367987656342,-0.006912165497178324,3.938571557794939,-1.1003119028975994,0.8648572085333406,-0.5638293109423707,0.023062314702225622,0.014401662243019333,705404.6510002308,-694697.2343142558,0.953405017921147,0.0,0.9227717819746954,-0.028247148706239567,4.815798388901882,-1.9775387340045425,0.7162013064743533,-0.4151734088833834,0.09029779058597502,-0.052833813640730067,13376.354430379764,-2668.937744404766
Ashton3,strip_s32,raw,32,18.603074141048825,808,25,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s32_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,465.07685352622065,2325.0,0.9320430107526881,0.9003394883836114,nan,0.2609595156688083,0.05784890146027983,8.429252427693859,0.0,5.751799132661574,0.8830400085950394,0.8782889351852674,0.05536992840095466,9.0,57.06000000000404,26537.285262208028,12636.802505813346,0.9784318160650372,-0.04638880531234901,0.9014367987656342,-0.0010973103820227648,3.938571557794939,1.813227574866635,0.8648572085333406,0.013431726651926823,0.023062314702225622,0.03230761369872903,705404.6510002308,-678867.3657380227,,,,,,,,,,,,
Ashton3,strip_pf_s32,pf,32,18.603074141048825,808,25,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_pf_s32_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,465.07685352622065,2325.0,0.9320430107526881,0.8611698979015354,nan,0.30299479418811964,0.07748613771099003,9.845703170132923,0.0,3.043718946671686,1.8165320771634934,0.6247707582853153,0.02243436754176611,12.471869190270517,30.708496354543776,14281.810861092637,6800.862314806017,0.9784318160650372,-0.04638880531234901,0.9014367987656342,-0.04026690086409879,3.938571557794939,-0.8948526111232531,0.8648572085333406,-0.24008645024802533,0.023062314702225622,-0.0006279471604595105,705404.6510002308,-691122.8401391382,0.9320430107526881,0.0,0.9003394883836114,-0.03916959048207602,5.751799132661574,-2.708080185989888,0.8782889351852674,-0.25351817689995215,0.05536992840095466,-0.03293556085918854,26537.285262208028,-12255.47440111539
Ashton3,strip_s16,raw,16,18.603074141048825,808,50,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s16_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,930.1537070524413,4650.0,0.9303225806451613,0.9042471439411967,nan,0.29709515656109214,0.15922066862997358,8.288907288705644,0.0,6.053238276901216,0.8783920004959407,1.037183957066758,0.057004830917874394,15.5,56.79150000000118,52824.82425406981,25154.678216223718,0.9784318160650372,-0.048109235419875884,0.9014367987656342,0.0028103451755624453,3.938571557794939,2.114666719106277,0.8648572085333406,0.17232674853341745,0.023062314702225622,0.03394251621564877,705404.6510002308,-652579.826746161,,,,,,,,,,,,
Ashton3,strip_pf_s16,pf,16,18.603074141048825,808,50,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_pf_s16_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,930.1537070524413,4650.0,0.9303225806451613,0.8858047453361981,nan,0.3163677383963413,0.20253900046318823,9.008078208424967,0.0,3.770028845846431,1.5100959432824745,0.9666251220483719,0.011835748792270532,8.394194640476071,33.045569100615225,30737.45860059486,14636.885047902313,0.9784318160650372,-0.048109235419875884,0.9014367987656342,-0.015632053429436077,3.938571557794939,-0.16854271194850812,0.8648572085333406,0.10176791351503134,0.023062314702225622,-0.01122656590995509,705404.6510002308,-674667.1923996359,0.9303225806451613,0.0,0.9042471439411967,-0.018442398604998522,6.053238276901216,-2.283209431054785,1.037183957066758,-0.07055883501838611,0.057004830917874394,-0.04516908212560386,52824.82425406981,-22087.365653474953
Ashton3,strip_s15,raw,15,18.603074141048825,808,53,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s15_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,985.9629294755878,4929.0,0.9293974437005478,0.8995883445282078,nan,0.29282962430284626,0.15690610554221618,8.474092313924007,0.0,6.0237654210375915,0.9029265573338168,1.2310774645387141,0.057025547445255474,16.0,56.702000000001135,55906.0700271259,26621.938108155187,0.9784318160650372,-0.049034372364489376,0.9014367987656342,-0.0018484542374264112,3.938571557794939,2.0851938632426523,0.8648572085333406,0.36622025600537356,0.023062314702225622,0.033963232743029856,705404.6510002308,-649498.5809731049,,,,,,,,,,,,
Ashton3,strip_pf_s15,pf,15,18.603074141048825,808,53,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_pf_s15_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,985.9629294755878,4929.0,0.9293974437005478,0.8760409211117177,nan,0.32274045619218994,0.21348942537455043,9.356893854563124,0.0,3.7337908184356428,1.3172682949821155,0.7253600323886626,0.011177007299270073,3.762998533850168,34.55366960078307,34068.63730371964,16223.160620818875,0.9784318160650372,-0.049034372364489376,0.9014367987656342,-0.025395877653916488,3.938571557794939,-0.20478073935929642,0.8648572085333406,-0.13949717614467794,0.023062314702225622,-0.011885307402955549,705404.6510002308,-671336.0136965112,0.9293974437005478,0.0,0.8995883445282078,-0.023547423416490076,6.0237654210375915,-2.2899746026019487,1.2310774645387141,-0.5057174321500515,0.057025547445255474,-0.0458485401459854,55906.0700271259,-21837.43272340626
Ashton3,strip_s8,raw,8,18.603074141048825,808,101,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_s8_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,1878.9104882459314,9393.0,0.9322900031938678,0.8898536828671433,nan,0.30869367217704574,0.00642224160055962,8.850768864189344,0.0,6.537031520514668,1.0356742754927677,1.296518104824913,0.07612415909359141,19.0,69.58400000000074,130742.10741410629,62258.14638766966,0.9784318160650372,-0.04614181287116936,0.9014367987656342,-0.011583115898490925,3.938571557794939,2.5984599627197285,0.8648572085333406,0.43166089629157245,0.023062314702225622,0.053061844391365784,705404.6510002308,-574662.5435861245,,,,,,,,,,,,
Ashton3,strip_pf_s8,pf,8,18.603074141048825,808,101,94,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/strip_ladder_pf_s8_d5.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,1878.9104882459314,9393.0,0.9322900031938678,0.8701650685887897,nan,0.3241673144401931,0.06279632332847848,9.559114536008343,0.0,4.092114062131731,1.8559331131737664,0.9981617509610565,0.008615602502065384,1.5654278864787232,29.15115423851281,54772.40944321656,26082.099734865027,0.9784318160650372,-0.04614181287116936,0.9014367987656342,-0.03127173017684448,3.938571557794939,0.15354250433679217,0.8648572085333406,0.13330454242771594,0.023062314702225622,-0.014446712200160238,705404.6510002308,-650632.2415570143,0.9322900031938678,0.0,0.8898536828671433,-0.019688614278353556,6.537031520514668,-2.4449174583829363,1.296518104824913,-0.2983563538638565,0.07612415909359141,-0.06750855659152602,130742.10741410629,-75969.69797088973
