person,config,w_dyn,beta,prec_x,jitter_30,r_dot_x,psd_hf,valid_frac
Ashton3,M4_fwd,,,2.691596163147917,0.9299810314916463,0.9428885000682579,0.08935346798646483,0.931914319836653
Ashton3,M5_base,0.5,4.0,3.6949448602486963,0.8469008649948151,0.941196767302001,0.20948458577413415,0.9442038756404824
Ashton3,M5_dyn4,4.0,4.0,3.7080393578086674,0.8536861259648116,0.9411771921976558,0.20605488100165784,0.9442038756404824
Ashton3,M5_dyn8,8.0,4.0,3.7139249356312627,0.8491596618560528,0.9411613842747579,0.20485894932871332,0.9442038756404824
Ashton3,M5_beta1,0.5,1.0,3.690278258435371,0.8477346913776582,0.9411991108782658,0.2085672679287098,0.9442038756404824
Ashton3,M5_dyn8_beta1,8.0,1.0,3.7068707362345505,0.8509656875417848,0.9411662692251445,0.20213784027245255,0.9442038756404824
