window_id,source,window_score,start_s,end_s,trace,cache,local_prec,local_j30,raw_jump_ge3_frac,raw_jump_return_ge3_frac,raw_step_p999_px,raw_speed_p999_px_s,max_ncc,resolved_minus_immediate_rms_px,resolved_minus_immediate_p95_px,hyp_count,qv,con,p_saccade,along_sigma_eff,resolver_override_frac,resolver_rank_p95,resolver_blend_frac,resolver_logp_gap_median,resolver_logp_gap_p95,resolved_minus_local_best_rms_px
5,j30,0.5659193272837797,62.400667232790454,64.36771201849197,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,2.2549284882266676,1.3057989679160364,0.08864795918367346,0.017145000937910337,59.124222328934096,863638.8416399949,0.33781650623045023,4.896080130322496,7.334931265103023,1.4005756245157006,0.4651849567890167,19.988460540771484,0.0,2.0,0.053097671672632005,1.0,,0.0,0.061688330528590685,6.098778329747224
6,j30,0.5636489693627595,62.867423622617935,64.83446840831947,baseline,m4_dpf_physics.npz,2.661868848372401,1.4159188055274683,0.12637124995085125,0.04254482541679774,72.8881030430853,1064690.4838976786,0.35296228288179166,,,,,,,,,,,,,
6,j30,0.5636489693627595,62.867423622617935,64.83446840831947,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,3.2410129295071264,1.971035628560955,0.10967090652130022,0.02895331933451785,60.68725146779941,886470.3076917453,0.34332744387681047,3.04850394244789,6.930705207792385,1.3979030662710188,0.4816209673881531,20.43903160095215,0.0,2.0,0.05345202769535114,1.0,0.029357072205736894,0.0,0.07635935297622998,4.935380088543336
6,j30,0.5636489693627595,62.867423622617935,64.83446840831947,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,3.110973916697598,1.72617545405744,0.145366444579043,0.04647875948958165,74.2020266190184,1083883.2172719832,0.34332744387681047,0.0,0.0,1.3979030662710188,0.4816209673881531,20.43903160095215,0.0,2.0,0.05345202769535114,1.0,0.029357072205736894,0.0,0.07635935297622998,4.238208855411993
6,j30,0.5636489693627595,62.867423622617935,64.83446840831947,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.339676658327223,1.8591805975813713,0.08988491823137493,0.017646583750605717,67.00583948691828,978767.1333019426,0.34332744387681047,5.248838435471418,7.675123983083936,1.3979030662710188,0.4816209673881531,20.43903160095215,0.0,2.0,0.05345202769535114,1.0,,0.0,0.07635935297622998,6.477708849212531
7,j30,0.5519370404192045,0.32206738573531685,2.289112171436849,baseline,m4_dpf_physics.npz,5.057794295650161,0.8429086276284679,0.1575567676298789,0.053075435203094774,80.95187072461313,1182479.4831505383,0.34387478430408186,,,,,,,,,,,,,
7,j30,0.5519370404192045,0.32206738573531685,2.289112171436849,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,5.071543866023309,1.317030609554834,0.12690801566370974,0.03164835164835165,54.69473517504338,798936.4742521822,0.3301491997622874,3.1874305106769225,7.377842109994268,1.4613825890421634,0.4594666063785553,18.415546417236328,0.0,2.0,0.062232094146987764,1.0,0.034720598550385784,0.0,0.2512588088274622,5.021889831133925
7,j30,0.5519370404192045,0.32206738573531685,2.289112171436849,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,5.036546240299581,0.9961375857188557,0.1689842563733717,0.053346653346653346,71.39426994379565,1042869.7776514903,0.3301491997622874,0.0,0.0,1.4613825890421634,0.4594666063785553,18.415546417236328,0.0,2.0,0.062232094146987764,1.0,0.034720598550385784,0.0,0.2512588088274622,4.557163462506435
7,j30,0.5519370404192045,0.32206738573531685,2.289112171436849,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,5.142754366263591,1.4304038087022022,0.10461120434747863,0.01902097902097902,58.773589406687854,858517.0793760472,0.3301491997622874,5.442688849989555,8.855071968454475,1.4613825890421634,0.4594666063785553,18.415546417236328,0.0,2.0,0.062232094146987764,1.0,,0.0,0.2512588088274622,6.4301702592611765
8,j30,0.5506565824143381,0.788823775562799,2.755868561264331,baseline,m4_dpf_physics.npz,5.973147820247149,1.0680921911622718,0.16223517153552272,0.054106205619018216,81.60553214553342,1192027.6407440137,0.34669639657385604,,,,,,,,,,,,,
8,j30,0.5506565824143381,0.788823775562799,2.755868561264331,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,5.839681520570943,1.5569611710192008,0.13178325596286217,0.032296794333053186,58.81695247826157,859150.4920693344,0.33348795691427924,3.364149030012153,7.579545642154065,1.4610901744434515,0.4518498182296753,18.352121353149414,0.0,2.0,0.06449357006876724,1.0,0.03854073584832356,0.0,0.30565809180190234,5.278960492220991
8,j30,0.5506565824143381,0.788823775562799,2.755868561264331,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,5.804154781054521,1.4303886983776408,0.17272290699535778,0.054468323528234684,72.61919832312225,1060762.541140675,0.33348795691427924,0.0,0.0,1.4610901744434515,0.4518498182296753,18.352121353149414,0.0,2.0,0.06449357006876724,1.0,0.03854073584832356,0.0,0.30565809180190234,4.7096988906822554
8,j30,0.5506565824143381,0.788823775562799,2.755868561264331,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,5.915508369647961,2.0231958015714566,0.10737153833840243,0.018729739464521552,66.31781812282709,968717.0734364366,0.33348795691427924,5.860040331701907,9.464073456594468,1.4610901744434515,0.4518498182296753,18.352121353149414,0.0,2.0,0.06449357006876724,1.0,,0.0,0.30565809180190234,6.890805189850723
9,precision,7.786181124609991,64.30890536861493,65.30882379481324,baseline,m4_dpf_physics.npz,4.10431048274501,2.3665202555780134,0.11754477482177013,0.03843478260869565,74.26171911322768,1084755.15696984,0.39959159733272015,,,,,,,,,,,,,
9,precision,7.786181124609991,64.30890536861493,65.30882379481324,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,4.982916173503431,1.6621574383953472,0.09484462008262978,0.022457779374775423,74.36429448516384,1086253.4950774754,0.39617996642904557,2.958211706888871,6.301748210355775,1.3241113640343198,0.472310334444046,19.411026000976562,0.0,2.0,0.04412537208895115,0.0,0.02889161267728944,0.0,0.0,4.984265361289884
9,precision,7.786181124609991,64.30890536861493,65.30882379481324,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,4.780810798514201,1.7556694849830574,0.12250763427339681,0.035932446999640676,83.74548969792163,1223286.410650893,0.39617996642904557,0.0,0.0,1.3241113640343198,0.472310334444046,19.411026000976562,0.0,2.0,0.04412537208895115,0.0,0.02889161267728944,0.0,0.0,4.601343132468982
9,precision,7.786181124609991,64.30890536861493,65.30882379481324,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,5.180281845776115,1.534969602476206,0.07813903359080294,0.013654329859863456,79.9135116560433,1167311.9733235687,0.39617996642904557,5.264362946340888,6.523536111972447,1.3241113640343198,0.472310334444046,19.411026000976562,0.0,2.0,0.04412537208895115,0.0,,0.0,0.0,6.364344488103697
10,precision,5.6375703477950045,54.8083795905717,55.80829801677003,baseline,m4_dpf_physics.npz,2.1743569595190597,1.0452089404380978,0.13455024463680842,0.04630152456239413,74.42318646628235,1087113.7415272654,0.38501712140887956,,,,,,,,,,,,,
10,precision,5.6375703477950045,54.8083795905717,55.80829801677003,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,3.238056780441532,0.44646041702292294,0.10896817743490839,0.029320987654320986,79.44446784307353,1160460.560495541,0.38276067593247465,3.2241218813818127,6.734862482390057,1.3355213803450863,0.45931030809879303,17.929697036743164,0.0,2.0,0.04669917479369842,0.0,0.03244561140285071,0.0,0.0,5.146476950821412
10,precision,5.6375703477950045,54.8083795905717,55.80829801677003,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,2.92007371349041,0.4592979074046948,0.13461909353905496,0.04398148148148148,88.39504521376173,1291203.3587589087,0.38276067593247465,0.0,0.0,1.3355213803450863,0.45931030809879303,17.929697036743164,0.0,2.0,0.04669917479369842,0.0,0.03244561140285071,0.0,0.0,4.263683502384806
10,precision,5.6375703477950045,54.8083795905717,55.80829801677003,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.6001984174766792,0.5543724111237474,0.09026036644165863,0.018132716049382717,82.82168219754863,1209792.177524548,0.38276067593247465,5.8434499984943145,7.251142870553602,1.3355213803450863,0.45931030809879303,17.929697036743164,0.0,2.0,0.04669917479369842,0.0,,0.0,0.0,6.978813580463044
11,precision,4.746313285097263,64.05889153235063,65.05880995854896,baseline,m4_dpf_physics.npz,3.431444539376228,2.0877698024356697,0.10840021401819154,0.036601027397260275,73.9776907819993,1080606.300725942,0.40167633862952606,,,,,,,,,,,,,
11,precision,4.746313285097263,64.05889153235063,65.05880995854896,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,4.076039662561229,1.7539333278560063,0.08725716167270332,0.022941822173435784,70.57730737416938,1030936.2488962212,0.3971155923162481,2.663204487676893,5.718437921889294,1.3048531152480363,0.5048803687095642,20.37516212463379,0.0,2.0,0.039922522328634455,0.0,0.024319380178629075,0.0,0.0,4.419665540321966
11,precision,4.746313285097263,64.05889153235063,65.05880995854896,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,3.928071972228455,1.9498839274657582,0.11184282735155307,0.033260153677277714,80.74435732662099,1179448.2951939397,0.3971155923162481,0.0,0.0,1.3048531152480363,0.5048803687095642,20.37516212463379,0.0,2.0,0.039922522328634455,0.0,0.024319380178629075,0.0,0.0,4.071058913011078
11,precision,4.746313285097263,64.05889153235063,65.05880995854896,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,4.2209503979742715,1.5906746179995315,0.07134233344309077,0.012733260153677277,73.48421816864345,1073398.0517309925,0.3971155923162481,4.6052938170701285,5.718437921889294,1.3048531152480363,0.5048803687095642,20.37516212463379,0.0,2.0,0.039922522328634455,0.0,,0.0,0.0,5.63253628170504
12,precision,4.465868137510023,63.55886385982203,64.55878228602036,baseline,m4_dpf_physics.npz,3.192926340008637,1.9750847922331296,0.11702447080018015,0.039711733353351854,71.41966246837754,1043240.6911223555,0.3767982293100016,,,,,,,,,,,,,
12,precision,4.465868137510023,63.55886385982203,64.55878228602036,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,3.834970520476059,2.2612123902203507,0.09608129956116714,0.025177086541422852,65.18219625981779,952128.8273390254,0.3695285766067192,2.738862233250991,6.159576688208153,1.3329062405788363,0.5219853222370148,21.27068042755127,0.0,2.0,0.04574917093759421,0.0,0.02562556526982213,0.0,0.0,4.679400989612576
12,precision,4.465868137510023,63.55886385982203,64.55878228602036,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,3.6648109770829698,2.208152757527799,0.12479790592039418,0.03957499230058516,73.63103070275555,1075542.5705407858,0.3695285766067192,0.0,0.0,1.3329062405788363,0.5219853222370148,21.27068042755127,0.0,2.0,0.04574917093759421,0.0,0.02562556526982213,0.0,0.0,4.053230569303465
12,precision,4.465868137510023,63.55886385982203,64.55878228602036,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.9263071183948575,1.9116818436615617,0.07783509123104165,0.014166923313828149,67.78462597423838,990143.0167097972,0.3695285766067192,4.686953155924508,6.327449440953255,1.3329062405788363,0.5219853222370148,21.27068042755127,0.0,2.0,0.04574917093759421,0.0,,0.0,0.0,6.040948133362516
13,precision,3.5271737609026195,63.808877696086334,64.80879612228466,baseline,m4_dpf_physics.npz,3.2657521634502897,2.1286943892679346,0.11642195978295564,0.04014045167983401,77.76286845063582,1135897.1160360493,0.3851139347166886,,,,,,,,,,,,,
13,precision,3.5271737609026195,63.808877696086334,64.80879612228466,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,3.768616308993009,1.7539333278560063,0.09480997139354311,0.02501226091221187,65.75355460572389,960474.7681494505,0.37924638658384324,2.783111524414368,6.28361852654224,1.3380360721442885,0.5078718066215515,20.58011817932129,0.0,2.0,0.045851703406813625,0.0,0.026693386773547094,0.0,0.0,4.551640181315205
13,precision,3.5271737609026195,63.808877696086334,64.80879612228466,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,3.6277263317185966,1.9498839274657582,0.123334695545566,0.037600130783063596,77.25681571625343,1128505.106803365,0.37924638658384324,0.0,0.0,1.3380360721442885,0.5078718066215515,20.58011817932129,0.0,2.0,0.045851703406813625,0.0,0.026693386773547094,0.0,0.0,4.043434580397563
13,precision,3.5271737609026195,63.808877696086334,64.80879612228466,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.887645605064809,1.5906746179995315,0.07674703718839396,0.014059179336275953,70.58314106295614,1031021.4627058551,0.37924638658384324,4.811372294102902,6.431697971475053,1.3380360721442885,0.5078718066215515,20.58011817932129,0.0,2.0,0.045851703406813625,0.0,,0.0,0.0,5.93320439983202
14,precision,3.3569919167028326,1.0554047937482223,2.0553232199465508,baseline,m4_dpf_physics.npz,3.688302938759703,0.6690461039358553,0.1726802190383317,0.06009002250562641,72.48072793888412,1058739.8777121473,0.33366645118733096,,,,,,,,,,,,,
14,precision,3.3569919167028326,1.0554047937482223,2.0553232199465508,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,4.039015388849035,0.6974699841772178,0.13689922480620156,0.03387859523994108,54.95103558182686,802680.3033920374,0.31774832720654,3.2738236790456012,7.732575013979611,1.5006802721088435,0.4614233523607254,17.934364318847656,0.0,2.0,0.06878306878306878,1.0,0.03922902494331066,0.0,0.33406310210343865,5.217707641121131
14,precision,3.3569919167028326,1.0554047937482223,2.0553232199465508,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,4.040517123864231,0.6489431483612194,0.1806201550387597,0.05566322970772928,67.87398592649498,991448.3146505724,0.31774832720654,0.0,0.0,1.5006802721088435,0.4614233523607254,17.934364318847656,0.0,2.0,0.06878306878306878,1.0,0.03922902494331066,0.0,0.33406310210343865,4.6349061987801035
14,precision,3.3569919167028326,1.0554047937482223,2.0553232199465508,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,4.089628084110702,0.8921289128291505,0.11224806201550387,0.02023412667648655,57.683497396187605,842593.8965561233,0.31774832720654,5.584499463103801,9.717832142885808,1.5006802721088435,0.4614233523607254,17.934364318847656,0.0,2.0,0.06878306878306878,1.0,,0.0,0.33406310210343865,6.7138019476917945
15,precision,3.242427135646843,1.5554324662768126,2.5553508924751416,baseline,m4_dpf_physics.npz,7.09351867945814,2.515263802251596,0.15612327656123276,0.052883445534917674,80.64794744224818,1178040.017544229,0.35013505215511515,,,,,,,,,,,,,
15,precision,3.242427135646843,1.5554324662768126,2.5553508924751416,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,7.207450073223233,3.707922102505954,0.12545225073622213,0.03096600471221811,55.89676668756904,816494.7788217866,0.33769926223379776,3.3208781527308613,7.468792980312358,1.431530870238969,0.4466840922832489,18.53631019592285,0.0,2.0,0.06174047793817796,1.0,0.036620177799526955,0.0,0.2697689338197691,5.208060186007468
15,precision,3.242427135646843,1.5554324662768126,2.5553508924751416,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,7.210890707470633,3.672154044359555,0.16230542700883466,0.049478290138000675,71.96283101476128,1051174.8581310024,0.33769926223379776,0.0,0.0,1.431530870238969,0.4466840922832489,18.53631019592285,0.0,2.0,0.06174047793817796,1.0,0.036620177799526955,0.0,0.2697689338197691,4.605424227263975
15,precision,3.242427135646843,1.5554324662768126,2.5553508924751416,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,7.260594908233721,3.7332006700400022,0.10164072360117796,0.01809155166610569,64.39649122556217,940651.8833907385,0.33769926223379776,5.808550643347154,9.07317924200889,1.431530870238969,0.4466840922832489,18.53631019592285,0.0,2.0,0.06174047793817796,1.0,,0.0,0.2697689338197691,6.8549318629668585
16,precision,3.1395895004873635,49.5580890290215,50.55800745521983,baseline,m4_dpf_physics.npz,2.360418295960931,1.0614959386153142,0.13832420010606328,0.048439847962520995,91.37211330489266,1334689.9626655693,0.37822513433703664,,,,,,,,,,,,,
16,precision,3.1395895004873635,49.5580890290215,50.55800745521983,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,2.947293820609814,0.7060672103027166,0.10064456721915285,0.02652177916935261,67.25439493492132,982397.8303452356,0.37532303181811616,3.295882235913263,6.870816136583481,1.3433612704014115,0.416371613740921,18.121963500976562,0.0,2.0,0.04755183061314513,0.0,0.0333480370533745,0.0,0.0,5.0632426622061475
16,precision,3.1395895004873635,49.5580890290215,50.55800745521983,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,2.7657507333248237,0.6388460495876203,0.13176795580110498,0.0429137121281886,86.49705320750886,1263479.0259363519,0.37532303181811616,0.0,0.0,1.3433612704014115,0.416371613740921,18.121963500976562,0.0,2.0,0.04755183061314513,0.0,0.0333480370533745,0.0,0.0,4.552118437891794
16,precision,3.1395895004873635,49.5580890290215,50.55800745521983,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.1435791674319638,0.7841623773641437,0.08195211786372007,0.01528685882677963,67.25439493492132,982397.8303452356,0.37532303181811616,5.950876558560613,7.783577280272894,1.3433612704014115,0.416371613740921,18.121963500976562,0.0,2.0,0.04755183061314513,0.0,,0.0,0.0,6.766200721991935
