stage,subject,config_id,variant_id,aq_model,sigma_min,sigma_max,gamma,q_p10,q_p90,dur_s,cache_path,baseline_path,rate,n_samples,valid_frac,r_dot_x,r_dot_y,r_trk_x,r_trk_y,rms_x,rms_y,prec_x,prec_y,j30,raw_jump_ge3_frac,raw_step_p999_px,raw_speed_p999_px_s,raw_speed_p999_arcmin_s,oculo_valid_frac,oculo_r_dot_x,oculo_r_dot_y,oculo_prec_x,oculo_prec_y,oculo_j30,baseline_valid_frac,baseline_r_dot_x,baseline_r_dot_y,baseline_prec_x,baseline_j30,baseline_raw_jump_ge3_frac,baseline_raw_step_p999_px,baseline_raw_speed_p999_px_s,baseline_raw_speed_p999_arcmin_s,baseline_oculo_r_dot_x,baseline_oculo_prec_x,baseline_oculo_j30,gate_r_dot_x,gate_valid_frac,gate_prec_x,gate_j30,pass_hard_gates,raw_jump_reduction,raw_speed_p999_reduction,oculo_j30_reduction,score,delta_valid_frac,delta_r_dot_x,delta_prec_x,delta_j30,slew_gate,slew_max_deg_s,slew_gate_cost,slew_gate_saccade_p
prune,Ashton3,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.2965904951095581,0.8045122027397156,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9393564356435643,5.195579733095603e-17,nan,0.04462536148330355,0.7502444544379755,1.731782632909537e-14,0.0,1.0855909295033752,0.8153243018536838,7.105427357601002e-15,0.03910614525139665,43.71141552864229,657038.6967427365,312875.56987749354,0.9393564356435643,1.8497884744870637e-17,nan,0.7894025418305678,0.6392091619165966,1.4210854715202004e-14,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,True,True,True,0.11258647522917616,0.11342014770535852,0.0,0.22600662293453466,-0.001436539343130705,nan,0.0643527616929973,7.105427357601002e-15,True,100.0,1000000.0,0.25
prune,Ashton3,qv_power_s2_6_g1,qv_power_s2_6_g1_sg100,qv_power,2.0,6.0,1.0,0.2965904951095581,0.8045122027397156,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_qv_power_s2_6_g1_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9392189218921893,0.0,nan,0.012044463794603057,0.7525392377433952,2.7867070477559018e-14,0.0,1.330632286061521,0.7736550024389801,0.0,0.03814493605762164,39.008422782243144,586346.6775639055,279212.70360185974,0.9392189218921893,7.052252144109616e-17,nan,0.8735333083199407,0.5935652071118708,0.0,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,False,True,False,0.1343986490756776,0.20880892805069337,0.0,-9.656792422873629,-0.0015740530945057563,nan,0.30939411825114305,0.0,True,100.0,1000000.0,0.25
prune,Ashton3,qv_power_s2_6_g2,qv_power_s2_6_g2_sg100,qv_power,2.0,6.0,2.0,0.2965904951095581,0.8045122027397156,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_qv_power_s2_6_g2_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9391501650165016,6.128107086383924e-17,nan,0.037437683413885495,0.7485284535266595,1.3712745811886971e-14,0.0,1.892703316987549,0.7867805683124632,3.552713678800501e-15,0.03630484309546557,41.7867850265615,628109.0292518756,299099.5377389884,0.9391501650165016,1.351154198391786e-16,nan,1.5378191273284998,0.5789758779382584,7.105427357601002e-15,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,False,True,False,0.1761548326871162,0.15245660089773908,0.0,-9.671388566415144,-0.001642809970193393,nan,0.871465149177171,3.552713678800501e-15,True,100.0,1000000.0,0.25
prune,Ashton3,qv_power_s2_6_g3,qv_power_s2_6_g3_sg100,qv_power,2.0,6.0,3.0,0.2965904951095581,0.8045122027397156,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics_aq_qv_power_s2_6_g3_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Ashton3/m4_dpf_physics.npz,15031.283905967452,14544.0,0.9390814081408141,4.3406647879483614e-17,nan,0.02757503563663972,0.7540854280137059,4.1875969051653e-14,0.0,1.2423902285454222,0.9363438463142161,0.0,0.036410445016550205,40.45857598020671,608144.3419896425,289592.54380459164,0.9390814081408141,2.530323739730964e-17,nan,0.7442648839920473,0.7682440383353589,0.0,0.940792974986695,nan,nan,1.021238167810378,0.0,0.04406755606017598,49.3034162862021,741093.6477320032,352901.73701523955,nan,0.6320891629789908,0.0,True,True,False,True,False,0.1737584683200877,0.17939609406885423,0.0,-9.646845437611058,-0.0017115668458809186,nan,0.22115206073504434,0.0,True,100.0,1000000.0,0.25
prune,Chong,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.25147830545902256,0.7881551682949067,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9843921892189219,nan,nan,0.8879696716711967,0.5127764591904106,1.9805103309134307e-14,0.0,6.0847705753814285,1.8408022207216677,0.0,0.03400070249385318,42.41860114410551,640470.4835155059,304985.9445311933,0.9843921892189219,nan,nan,5.203751171752622,1.2975825917694865,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,False,True,False,True,False,0.32354308883492916,0.23712036337744247,0.0,-9.439336547787628,0.006314170807106612,nan,1.1562418629252358,0.0,True,100.0,1000000.0,0.25
prune,Chong,qv_power_s2_6_g1,qv_power_s2_6_g1_sg100,qv_power,2.0,6.0,1.0,0.25147830545902256,0.7881551682949067,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_qv_power_s2_6_g1_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9840484048404841,nan,nan,0.89530613561382,0.45498203281109134,1.8252511376276943e-14,0.0,5.655128197518443,1.9674177164943252,0.0,0.03554868624420402,48.16183349874334,727186.4690479033,346279.2709751921,0.9840484048404841,nan,nan,4.658898911006648,1.448102858190209,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,False,True,False,True,False,0.29274536321483763,0.13383088910033367,0.0,-9.573423747684828,0.005970386428668761,nan,0.7265994850622501,0.0,True,100.0,1000000.0,0.25
prune,Chong,qv_power_s2_6_g2,qv_power_s2_6_g2_sg100,qv_power,2.0,6.0,2.0,0.25147830545902256,0.7881551682949067,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_qv_power_s2_6_g2_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9845297029702971,0.0,nan,0.883466857730489,0.5185777066584623,2.881546462965169e-14,0.0,5.952415792627825,1.668793713827034,3.552713678800501e-15,0.03702402697765913,51.67069487670592,780166.1072895776,371507.6701378941,0.9845297029702971,0.0,nan,5.0863126954183935,1.1060309000456865,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,True,True,False,True,False,0.2633928980518171,0.0707255810331204,0.0,-9.665881520915063,0.006451684558481774,-9.453522980410544e-17,1.0238870801716322,3.552713678800501e-15,True,100.0,1000000.0,0.25
prune,Chong,qv_power_s2_6_g3,qv_power_s2_6_g3_sg100,qv_power,2.0,6.0,3.0,0.25147830545902256,0.7881551682949067,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics_aq_qv_power_s2_6_g3_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Chong/m4_dpf_physics.npz,15098.811989100817,14544.0,0.9841859185918592,nan,nan,0.8912324848862024,0.475633699925328,1.1958545209631561e-14,0.0,5.880259414241549,1.8543817849142843,0.0,0.03528006184552674,57.051044477649675,861402.9943498608,410191.9020713623,0.9841859185918592,nan,nan,4.745669850342591,1.394587121023956,0.0,0.9780780184118153,9.453522980410544e-17,nan,4.928528712456193,0.0,0.05026292426415352,55.603268337194514,839543.2946028224,399782.5212394392,1.428187221621466e-16,4.0779720326282805,0.0,False,True,False,True,False,0.29808974782058684,-0.026037608646948908,0.0,-9.727947860826362,0.006107900180043924,nan,0.9517307017853565,0.0,True,100.0,1000000.0,0.25
prune,Igor,qv_power_s2_6_g0p5,qv_power_s2_6_g0p5_sg100,qv_power,2.0,6.0,0.5,0.11763294413685799,0.730889230966568,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_qv_power_s2_6_g0p5_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,14544.0,0.9858360836083608,nan,nan,0.5168710443198504,0.6655060097261888,2.1663895590787384e-14,0.0,5.594728999410148,2.6938553889613424,0.0,0.08774029997887473,64.57750862794423,942467.8601248278,448794.21910706087,0.9858360836083608,nan,nan,4.564894038527026,1.8847678233202412,0.0,0.9795820486467969,nan,nan,4.924161391017375,0.0,0.13189227498228207,79.77780082549816,1164306.5027896776,554431.6679950845,nan,3.8782231548483654,7.105427357601002e-15,True,True,False,True,False,0.3347578545395366,0.1905328555095454,0.0,-9.474709289950917,0.006254034961563959,nan,0.6705676083927736,0.0,True,100.0,1000000.0,0.25
prune,Igor,qv_power_s2_6_g1,qv_power_s2_6_g1_sg100,qv_power,2.0,6.0,1.0,0.11763294413685799,0.730889230966568,1.0,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics_aq_qv_power_s2_6_g1_sg100_d1.npz,/Users/ashtonperlroth/Kodiak/gaze-model/cache/people_fov/Igor/m4_dpf_physics.npz,14594.36698858648,14544.0,0.983567106710671,nan,nan,0.5116875294603437,0.665874497441283,2.6565091795152226e-14,0.0,5.08205844024728,3.052861343469913,0.0,0.09143624920444099,62.883756235765,917748.6161255679,437023.1505359847,0.983567106710671,nan,nan,4.109484452533954,2.0331876502246358,0.0,0.9795820486467969,nan,nan,4.924161391017375,0.0,0.13189227498228207,79.77780082549816,1164306.5027896776,554431.6679950845,nan,3.8782231548483654,7.105427357601002e-15,True,True,False,True,False,0.30673537008346996,0.21176372894367346,0.0,-9.481500900972856,0.0039850580638741695,nan,0.15789704922990566,0.0,True,100.0,1000000.0,0.25
